qid,role,intent,grade,systems,question
LB-052,"School leadership, university leadership, and building owners",,unmeasured,bms_plant|cleaning_waste|finance_cost|meter_energy|sensor_telemetry|space_inventory|sustainability,Which zones or assets show persistent avoidable energy or carbon demand without a confirmed service need?
LB-053,"School leadership, university leadership, and building owners",sensor_data,honest-capability-answer,finance_cost|hr_identity|meter_energy|space_inventory|sustainability|weather_external,"Which claimed carbon savings remain credible after baseline quality, weather, service level and concurrent changes are tested?"
LB-054,"School leadership, university leadership, and building owners",,unmeasured,accessibility|bms_plant|sensor_telemetry|space_inventory|user_reports,"Which energy-saving controls can remain in place without reducing verified comfort, ventilation or indoor-air-quality performance below current requirements?"
LB-055,"School leadership, university leadership, and building owners",,unmeasured,accessibility|fire_life_safety|policy_governance|sensor_telemetry|statutory_compliance|user_reports,"Where does the current end-to-end accessible journey fail across entrances, routes, rooms, amenities and emergency arrangements?"
LB-056,"School leadership, university leadership, and building owners",,unmeasured,finance_cost|hr_identity|project_handover|sensor_telemetry|space_inventory|sustainability|user_reports,"Are the benefits, costs and disruptions of building investment being distributed as approved across affected communities and activities?"
LB-057,"School leadership, university leadership, and building owners",,unmeasured,accessibility|hr_identity|space_inventory|user_reports,"Can the building reliably support the access, facilities and service standards required by approved civic and public-engagement commitments?"
LB-058,"School leadership, university leadership, and building owners",capability,deflected,cleaning_waste|contract_warranty|finance_cost|sensor_telemetry|space_inventory|statutory_compliance|sustainability,"Are procurement and contractor social-value commitments specific, evidenced and attributable without exposing individuals or overstating causation?"
LB-059,"School leadership, university leadership, and building owners",,unmeasured,asset_register|contract_warranty|finance_cost|hr_identity|meter_energy|space_inventory|survey_condition|sustainability,"How do whole-life cost, operational energy, embodied carbon, maintenance, replacement cycles and end-of-life effects compare across options?"
LB-060,"School leadership, university leadership, and building owners",,unmeasured,accessibility|contract_warranty|finance_cost|policy_governance|sensor_telemetry|space_inventory|sustainability,"Which coordinated measures could improve carbon, inclusion and service value together without weakening safety or minimum standards?"
LB-061,"School leadership, university leadership, and building owners",capability,deflected,asset_register|contract_warranty|finance_cost|it_network|sensor_telemetry|space_inventory,"Which building services are genuinely mission-critical, who owns each dependency, and which upstream failure could stop delivery?"
LB-062,"School leadership, university leadership, and building owners",,unmeasured,contract_warranty|finance_cost|it_network|policy_governance|project_handover|space_inventory|weather_external,"How long can priority activities continue through loss of power, water, network, ventilation, access or another utility under current arrangements?"
LB-063,"School leadership, university leadership, and building owners",,unmeasured,cmms_work|it_network|security_incident|sensor_telemetry|space_inventory,"What is the verified impact of the present disruption, and which choices remain reserved to incident command or accountable service owners?"
LB-064,"School leadership, university leadership, and building owners",,unmeasured,accessibility|booking|it_network|sensor_telemetry|timetable,"Which alternative spaces, routes and service arrangements are currently usable for the affected activities, not merely listed on paper?"
LB-065,"School leadership, university leadership, and building owners",,unmeasured,contract_warranty|finance_cost|space_inventory,Which dependency-aware recovery order should incident leaders adopt to restore priority services safely with the people and resources currently available?
LB-066,"School leadership, university leadership, and building owners",,unmeasured,contract_warranty|finance_cost|sensor_telemetry|space_inventory|sustainability|weather_external,"How exposed are priority services to heat, flooding, severe weather, supply failure, transport disruption and external works?"
LB-067,"School leadership, university leadership, and building owners",,unmeasured,contract_warranty|finance_cost|policy_governance|project_handover|space_inventory|statutory_compliance,"Do redundancy, spare capacity, manual workarounds and supplier arrangements operate end to end under realistic test conditions?"
LB-068,"School leadership, university leadership, and building owners",,unmeasured,policy_governance|sensor_telemetry|space_inventory,"Which lessons from previous disruptions remain unowned, overdue, untested or invalidated by later building changes?"
LB-069,"School leadership, university leadership, and building owners",,unmeasured,cmms_work|contract_warranty|finance_cost|space_inventory,"Which early indicator should trigger a readiness check, while being kept separate from any prediction that failure will occur?"
LB-070,"School leadership, university leadership, and building owners",,unmeasured,contract_warranty|finance_cost|policy_governance|risk_insurance|sensor_telemetry|space_inventory,Which resilience option gives the most robust reduction in service consequence and recovery time across several credible scenarios?
LB-071,"School leadership, university leadership, and building owners",,unmeasured,contract_warranty|finance_cost|policy_governance|space_inventory|sustainability,"Who is accountable for every reported outcome, source, threshold, exception and resulting action, and where is ownership missing?"
LB-072,"School leadership, university leadership, and building owners",,unmeasured,finance_cost|policy_governance|sensor_telemetry|space_inventory|sustainability,"Are leadership reports using current definitions, boundaries, time windows and source versions so that figures are genuinely comparable?"
LB-073,"School leadership, university leadership, and building owners",,unmeasured,accessibility|asset_register|contract_warranty|finance_cost|space_inventory|statutory_compliance|sustainability|user_reports,"Which performance indicators risk rewarding substitution, gaming or under-reporting rather than the intended building outcome?"
LB-074,"School leadership, university leadership, and building owners",,unmeasured,access_control|finance_cost|policy_governance|space_inventory,"Can each material building decision be reconstructed from the evidence, assumptions, permissions, advice and uncertainty available at the cut-off?"
LB-075,"School leadership, university leadership, and building owners",privacy_refusal,deflected,policy_governance|sensor_telemetry|space_inventory,"Where do authoritative records or competent professional assessments conflict, and who has the mandate to resolve each conflict?"
LB-076,"School leadership, university leadership, and building owners",,unmeasured,finance_cost|policy_governance|sensor_telemetry|space_inventory|sustainability,"How do plausible demand, cost, climate, policy, technology and service scenarios alter the preferred option or trigger point?"
LB-077,"School leadership, university leadership, and building owners",,unmeasured,accessibility|finance_cost|policy_governance|space_inventory|sustainability,"Which commitments, actions and dependencies are overdue, blocked, duplicated or at risk of losing an accountable owner?"
LB-078,"School leadership, university leadership, and building owners",,unmeasured,policy_governance|space_inventory|statutory_compliance,"Are data access, linkage, retention and disclosure no greater than needed for each approved leadership purpose?"
LB-079,"School leadership, university leadership, and building owners",,unmeasured,accessibility|finance_cost|space_inventory|survey_condition|sustainability,"How can buildings or organisational units be compared without false precision, unfair ranking or incentives to suppress legitimate demand?"
LB-080,"School leadership, university leadership, and building owners",,unmeasured,accessibility|finance_cost|it_network|policy_governance|space_inventory|sustainability,"What minimum evidence pack should leadership require before approving, deferring or escalating a material building matter?"
MC-001,External maintenance contractors,capability,honest-capability-answer,access_control|cmms_work|contract_warranty|permit_control|sensor_telemetry|space_inventory|training_competency,"Is the visit ready to mobilise, and what must our crew resolve or bring before travelling?"
MC-002,External maintenance contractors,metadata,answered-with-data,contract_warranty|permit_control|sensor_telemetry|space_inventory|training_competency,"Which planned crew members still need a valid site induction, refresher or task-specific briefing?"
MC-003,External maintenance contractors,privacy_refusal,deflected,cmms_work|contract_warranty|hr_identity|permit_control|sensor_telemetry|space_inventory|training_competency,"Who owns this job on site, who is the technical contact, and who is the fallback escalation?"
MC-004,External maintenance contractors,capability,document-quoted,contract_warranty|fire_life_safety|permit_control|sensor_telemetry|space_inventory|training_competency,What emergency arrangements and temporary impairments apply to our exact work area and shift?
MC-005,External maintenance contractors,capability,honest-capability-answer,access_control|contract_warranty|permit_control|sensor_telemetry|space_inventory|training_competency,"Which current site rules change our RAMS, tooling, sequence, containment or housekeeping for this task?"
MC-006,External maintenance contractors,sensor_data,answered-with-data,contract_warranty|permit_control|sensor_telemetry|space_inventory|training_competency,"Which contractor welfare and break facilities are available during our shift, and where are they?"
MC-007,External maintenance contractors,metadata,answered-with-data,asset_register|permit_control|sensor_telemetry|space_inventory|training_competency,"Has any current building, plant or access condition invalidated an assumption in the work order or RAMS?"
MC-008,External maintenance contractors,capability,honest-capability-answer,access_control|permit_control|project_handover|sensor_telemetry|space_inventory|training_competency,"Which job information is controlled and current, and which is historical, uncontrolled or still unverified?"
MC-009,External maintenance contractors,metadata,deflected,contract_warranty|permit_control|sensor_telemetry|space_inventory|training_competency,"Which specialist competence, formal appointment or named technical role must be present for this scope?"
MC-010,External maintenance contractors,capability,document-quoted,access_control|permit_control|sensor_telemetry|space_inventory|training_competency,"What extra staffing, access, supervision or service constraints apply to this out-of-hours visit?"
MC-011,External maintenance contractors,capability,honest-capability-answer,access_control|permit_control|sensor_telemetry|space_inventory|training_competency,Which authorised entrance and route should we use for our crew and the actual equipment we are bringing?
MC-012,External maintenance contractors,capability,document-quoted,access_control|contract_warranty|permit_control|policy_governance|sensor_telemetry|space_inventory|training_competency,"Which badge, key, token or other credential is required at each controlled point, and how are access failures escalated?"
MC-013,External maintenance contractors,metadata,answered-with-data,fire_life_safety|permit_control|sensor_telemetry|space_inventory|training_competency,"Which permit-to-work processes may apply, and which competent role can issue, suspend or cancel each permit?"
MC-014,External maintenance contractors,capability,honest-capability-answer,access_control|booking|permit_control|sensor_telemetry|space_inventory|training_competency,"Where is an escort required, for how long, and how is escort cover arranged for our work window?"
MC-015,External maintenance contractors,sensor_data,honest-capability-answer,contract_warranty|permit_control|sensor_telemetry|space_inventory|training_competency,"What is the approved work window, and which teaching, event, operational or blackout periods must we avoid?"
MC-016,External maintenance contractors,sensor_data,answered-with-data,access_control|permit_control|sensor_telemetry|space_inventory|training_competency,"What current controls apply to reaching or working in the ceiling void, riser, roof, plant room or floor void we need?"
MC-017,External maintenance contractors,sensor_data,answered-with-data,fire_life_safety|permit_control|sensor_telemetry|space_inventory|training_competency,"What restrictions apply today to noisy, dusty, odorous, vibration-producing or hot work in this area?"
MC-018,External maintenance contractors,capability,document-quoted,access_control|permit_control|sensor_telemetry|space_inventory|training_competency,"If the work overruns, when must we stop, whom must we contact, and what must be re-authorised before continuing?"
MC-019,External maintenance contractors,capability,honest-capability-answer,permit_control|project_handover|sensor_telemetry|space_inventory|training_competency,"Can the approved route safely accommodate our ladders, trolley, test gear and replacement equipment?"
MC-020,External maintenance contractors,asset_state,deflected,access_control|permit_control|sensor_telemetry|space_inventory|training_competency,"Are any entrances, lifts, corridors or work zones on our route temporarily closed, restricted or shared with other work?"
MC-021,External maintenance contractors,capability,answered-with-data,access_control|permit_control|sensor_telemetry|space_inventory|training_competency,"Where is the exact maintainable asset, and what checks confirm we have the correct item before touching it?"
MC-022,External maintenance contractors,capability,answered-with-data,access_control|permit_control|project_handover|sensor_telemetry|space_inventory|training_competency,Which controlled drawing is current for this asset and the services relevant to today's task?
MC-023,External maintenance contractors,capability,honest-capability-answer,access_control|permit_control|project_handover|sensor_telemetry|space_inventory|training_competency,"Which manufacturer and maintenance instructions apply to the exact installed model, variant and configuration?"
MC-024,External maintenance contractors,capability,document-quoted,permit_control|sensor_telemetry|space_inventory|training_competency,"Which maintenance, failure and remedial history is relevant to this job, without assuming past events caused today's fault?"
MC-025,External maintenance contractors,capability,answered-with-data,access_control|permit_control|sensor_telemetry|space_inventory|training_competency,"What are the verified asset ID, manufacturer, model, serial number, duty and critical configuration details?"
MC-026,External maintenance contractors,capability,document-quoted,access_control|permit_control|sensor_telemetry|space_inventory|survey_condition|training_competency,"What current evidence exists for hidden services at the exact place we may drill, cut, core or open up?"
MC-027,External maintenance contractors,sensor_data,answered-with-data,access_control|permit_control|sensor_telemetry|space_inventory|training_competency,"Which breaker, isolator, valve, damper or other device is recorded as serving this asset, and what must be field-verified?"
MC-028,External maintenance contractors,capability,answered-with-data,access_control|it_network|permit_control|project_handover|sensor_telemetry|space_inventory|training_competency,"What verified changes have been made to the asset, its connections or its immediate surroundings since the last controlled baseline?"
MC-029,External maintenance contractors,metadata,answered-with-data,contract_warranty|finance_cost|permit_control|sensor_telemetry|space_inventory|training_competency,"Do warranty, manufacturer support or specialist service conditions constrain who may work on this asset or what may be changed?"
MC-030,External maintenance contractors,events,answered-with-data,permit_control|sensor_telemetry|space_inventory|training_competency,"What unresolved defects, recurring observations or deferred actions already exist for this asset or immediate location?"
MC-031,External maintenance contractors,capability,document-quoted,permit_control|sensor_telemetry|space_inventory|training_competency,"What exactly was observed, from which authorised report or system, and when did the fault begin or become unacceptable?"
MC-032,External maintenance contractors,capability,document-quoted,access_control|asset_register|bms_plant|permit_control|sensor_telemetry|space_inventory|training_competency,"Which time-aligned alarms and abnormal measurements occurred immediately before, during and after the fault?"
MC-033,External maintenance contractors,sensor_data,answered-with-data,permit_control|sensor_telemetry|space_inventory|training_competency,"Is the fault continuous, intermittent or conditional on load, schedule, weather, occupancy level or operating mode?"
MC-034,External maintenance contractors,capability,answered-with-data,asset_register|permit_control|sensor_telemetry|space_inventory|training_competency,"Which rooms, assets or services are confirmed affected, and which remain only suspected?"
MC-035,External maintenance contractors,sensor_data,honest-capability-answer,bms_plant|permit_control|sensor_telemetry|space_inventory|training_competency,"Which maintenance, setpoint, firmware, control or building changes occurred shortly before the fault, and which are only hypotheses rather than established causes?"
MC-036,External maintenance contractors,capability,honest-capability-answer,permit_control|sensor_telemetry|space_inventory|training_competency,What verified normal performance should we compare against for this asset under the same operating conditions?
MC-037,External maintenance contractors,capability,answered-with-data,permit_control|sensor_telemetry|space_inventory|training_competency,"Has this asset or a genuinely comparable one shown the same symptom before, and which previous actions were followed by verified recovery?"
MC-038,External maintenance contractors,capability,document-quoted,contract_warranty|permit_control|sensor_telemetry|space_inventory|training_competency,"Which diagnostic checks have already been completed, under what conditions, with which traceable instruments, and what were the results?"
MC-039,External maintenance contractors,capability,honest-capability-answer,contract_warranty|permit_control|sensor_telemetry|space_inventory|training_competency,"What are the current priority, response target, authorised work-order scope and explicit exclusions?"
MC-040,External maintenance contractors,capability,document-quoted,asset_register|permit_control|sensor_telemetry|space_inventory|training_competency,Which next manual test would best distinguish the remaining plausible fault locations while minimising intrusive work?
MC-041,External maintenance contractors,capability,document-quoted,contract_warranty|permit_control|policy_governance|sensor_telemetry|space_inventory|training_competency,"Which tools, test instruments and access equipment are required for this exact task and installed asset variant?"
MC-042,External maintenance contractors,sensor_data,honest-capability-answer,booking|cleaning_waste|permit_control|sensor_telemetry|space_inventory|training_competency,"Which required spares and consumables are confirmed available, where are they held, and are they allocated to this job?"
MC-043,External maintenance contractors,capability,honest-capability-answer,access_control|finance_cost|permit_control|sensor_telemetry|space_inventory|training_competency,"Is the proposed replacement part approved and technically compatible with the installed asset, interfaces, ratings and configuration?"
MC-044,External maintenance contractors,metadata,answered-with-data,asset_register|permit_control|sensor_telemetry|space_inventory|training_competency,"Which filters, belts, batteries, seals, service kits or other consumables are due or justified by verified condition evidence on this visit?"
MC-045,External maintenance contractors,capability,document-quoted,booking|permit_control|sensor_telemetry|space_inventory|training_competency,"Which delivery point should our vehicle use, and what vehicle, timing, loading and security constraints apply?"
MC-046,External maintenance contractors,capability,document-quoted,fire_life_safety|permit_control|sensor_telemetry|space_inventory|training_competency,"Where may we temporarily store tools, spares and removed components, and what environmental, security or fire-loading limits apply?"
MC-047,External maintenance contractors,sensor_data,honest-capability-answer,permit_control|sensor_telemetry|space_inventory|training_competency,"Does this move require lifting equipment, and what approved lift plan, route, capacity and competent roles apply?"
MC-048,External maintenance contractors,capability,honest-capability-answer,contract_warranty|permit_control|sensor_telemetry|space_inventory|statutory_compliance|training_competency,"Is each specialist test instrument correctly ranged, functional and within required calibration for the measurement we must make?"
MC-049,External maintenance contractors,sensor_data,answered-with-data,asset_register|it_network|permit_control|sensor_telemetry|space_inventory|training_competency,"Which temporary power, water, drainage or network connection is approved for contractor use, and what interface limits apply?"
MC-050,External maintenance contractors,metadata,answered-with-data,cleaning_waste|contract_warranty|finance_cost|permit_control|sensor_telemetry|space_inventory|training_competency,"What is the authorised custody route for unused, defective, warranty-return and removed parts after the job?"
MC-051,External maintenance contractors,capability,honest-capability-answer,access_control|permit_control|policy_governance|sensor_telemetry|space_inventory|training_competency,"Where are the documented isolation points, and what must the competent isolation process verify before work begins?"
MC-052,External maintenance contractors,capability,honest-capability-answer,permit_control|sensor_telemetry|space_inventory|training_competency,"Which current hazards and temporary controls apply to this exact workface, task and time window?"
MC-053,External maintenance contractors,capability,honest-capability-answer,permit_control|sensor_telemetry|space_inventory|statutory_compliance|survey_condition|training_competency,What current asbestos information applies to the exact material or location we may disturb?
MC-054,External maintenance contractors,capability,document-quoted,permit_control|policy_governance|sensor_telemetry|space_inventory|training_competency,"Does this location require confined-space, restricted-space or other special-entry controls today?"
MC-055,External maintenance contractors,capability,document-quoted,access_control|permit_control|policy_governance|sensor_telemetry|space_inventory|training_competency,"What electrical system and hazard information must be resolved before we open, test or work near this equipment?"
MC-056,External maintenance contractors,metadata,honest-capability-answer,fire_life_safety|permit_control|sensor_telemetry|space_inventory|training_competency,"If the task involves hot work, which permit, alarm-management, fire-watch and post-work controls apply?"
MC-057,External maintenance contractors,sensor_data,answered-with-data,permit_control|policy_governance|sensor_telemetry|space_inventory|training_competency,"Which pressure, temperature, gravity, spring, rotating or other stored-energy hazards must be controlled before opening this system?"
MC-058,External maintenance contractors,capability,document-quoted,contract_warranty|meter_energy|permit_control|sensor_telemetry|space_inventory|training_competency|weather_external,Which site-specific controls and current environmental conditions affect our planned work-at-height method?
MC-059,External maintenance contractors,capability,honest-capability-answer,contract_warranty|it_network|permit_control|sensor_telemetry|space_inventory|training_competency,Do the conditions we found at the workface still match the assumptions and controls in the approved RAMS?
MC-060,External maintenance contractors,capability,honest-capability-answer,contract_warranty|permit_control|sensor_telemetry|space_inventory|training_competency,"If conditions become unsafe, unexpected or outside scope, what is the current stop-work and escalation route?"
MC-061,External maintenance contractors,capability,honest-capability-answer,permit_control|sensor_telemetry|space_inventory|training_competency,"Which tests, tolerances and evidence are required before this task can be presented for technical acceptance?"
MC-062,External maintenance contractors,capability,honest-capability-answer,permit_control|sensor_telemetry|space_inventory|training_competency,What pre-work baseline should we preserve so before/after performance can be compared fairly?
MC-063,External maintenance contractors,capability,honest-capability-answer,asset_register|permit_control|sensor_telemetry|space_inventory|training_competency,"Which functional or commissioning checks are required after reassembly, restart or return to normal operation?"
MC-064,External maintenance contractors,sensor_data,honest-capability-answer,booking|permit_control|sensor_telemetry|space_inventory|training_competency,When can we run the required functional test with low operational disruption and still reproduce the required operating conditions?
MC-065,External maintenance contractors,capability,answered-with-data,access_control|contract_warranty|permit_control|sensor_telemetry|space_inventory|statutory_compliance|training_competency,"Exactly which readings, photographs, certificates and work records must we submit, and which content must not be captured?"
MC-066,External maintenance contractors,observability,answered-with-data,contract_warranty|permit_control|sensor_telemetry|space_inventory|training_competency,"Are our test readings consistent within expected uncertainty, or does instrument quality, sensor mapping, timing or test condition require a repeat?"
MC-067,External maintenance contractors,metadata,answered-with-data,asset_register|permit_control|sensor_telemetry|space_inventory|training_competency,"Which residual defects, temporary conditions, limitations or follow-up actions must be declared before handover?"
MC-068,External maintenance contractors,capability,answered-with-data,access_control|permit_control|sensor_telemetry|space_inventory|training_competency,"Which asset, drawing, setting, maintenance or configuration records must be updated because of verified changes we made?"
MC-069,External maintenance contractors,sensor_data,answered-with-data,contract_warranty|permit_control|sensor_telemetry|space_inventory|training_competency,"Which authorised role must witness, accept or close each hold point, and what evidence must be available?"
MC-070,External maintenance contractors,capability,answered-with-data,asset_register|permit_control|project_handover|sensor_telemetry|space_inventory|training_competency,"What current state, limitations, safeguards and next actions must we communicate to the next operator, shift or maintenance team?"
MC-071,External maintenance contractors,capability,answered-with-data,asset_register|permit_control|sensor_telemetry|space_inventory|training_competency,"Which services, spaces and dependent systems could be disrupted by this intervention, and which dependencies are confirmed?"
MC-072,External maintenance contractors,capability,honest-capability-answer,booking|permit_control|sensor_telemetry|space_inventory|training_competency,"Within the approved window, which sub-window is likely to cause the least disruption while still meeting the technical test conditions?"
MC-073,External maintenance contractors,capability,deflected,booking|contract_warranty|permit_control|sensor_telemetry|space_inventory|training_competency,"Which other planned work conflicts with our route, work zone, isolation boundary, shared plant or service?"
MC-074,External maintenance contractors,sensor_data,answered-with-data,permit_control|sensor_telemetry|space_inventory|training_competency,"What containment and monitoring are required for noise, dust, debris, vibration or odour from this job?"
MC-075,External maintenance contractors,capability,document-quoted,cleaning_waste|contract_warranty|permit_control|sensor_telemetry|space_inventory|statutory_compliance|training_competency,"Which approved waste stream should each material enter, and what segregation, storage, transfer and evidence are required?"
MC-076,External maintenance contractors,capability,honest-capability-answer,accessibility|contract_warranty|fire_life_safety|permit_control|sensor_telemetry|space_inventory|training_competency,"Which barriers, signs, exclusion zones or temporary route diversions are required, while preserving egress and accessibility?"
MC-077,External maintenance contractors,capability,honest-capability-answer,permit_control|sensor_telemetry|space_inventory|training_competency,"What is the authorised service-restoration sequence, and which prerequisites and dependencies must be confirmed before each stage?"
MC-078,External maintenance contractors,metadata,answered-with-data,permit_control|project_handover|sensor_telemetry|space_inventory|training_competency,"After restoration, what operating conditions and observation period are required before the system can be presented for handover?"
MC-079,External maintenance contractors,metadata,answered-with-data,it_network|permit_control|sensor_telemetry|space_inventory|training_competency,"Has the work area been returned to the clean, accessible and operational condition specified for owner handback?"
MC-080,External maintenance contractors,capability,honest-capability-answer,contract_warranty|permit_control|sensor_telemetry|space_inventory|training_competency,"If a new issue is reported after we leave, what evidence can distinguish a plausible relationship to our intervention from coincidence without assigning blame?"
ME-001,Mechanical and electrical engineers,capability,answered-with-data,it_network|meter_energy|project_handover|sensor_telemetry,Where does the current controlled electrical single-line diagram conflict with the distribution physically evidenced today?
ME-002,Mechanical and electrical engineers,capability,answered-with-data,asset_register|bms_plant|sensor_telemetry|user_reports,"Which mechanical plant and distribution paths are verified to serve this room or zone, and which links remain unverified?"
ME-003,Mechanical and electrical engineers,capability,answered-with-data,asset_register|bms_plant|cmms_work|meter_energy|project_handover|sensor_telemetry,"Which M&E asset-register records must be reconciled before they can support design, maintenance or lifecycle decisions?"
ME-004,Mechanical and electrical engineers,capability,honest-capability-answer,asset_register|bms_plant|meter_energy|sensor_telemetry|user_reports,"What duty was this plant designed and commissioned for, and what duty is it demonstrably delivering now?"
ME-005,Mechanical and electrical engineers,planner,answered-with-data,bms_plant|sensor_telemetry|survey_condition,"Which current environmental design criteria govern this space, and which measured conditions can validly be compared with them?"
ME-006,Mechanical and electrical engineers,capability,honest-capability-answer,cmms_work|it_network|permit_control|policy_governance|sensor_telemetry|user_reports,"Which isolation points and downstream dependencies are documented, and what must still be proved on site before work?"
ME-007,Mechanical and electrical engineers,capability,document-quoted,access_control|bms_plant|cmms_work|meter_energy|sensor_telemetry,"Are asset names and tags consistent across drawings, BMS, meters, O&M information and maintenance systems?"
ME-008,Mechanical and electrical engineers,capability,deflected,asset_register|bms_plant|meter_energy|permit_control|sensor_telemetry|space_inventory|survey_condition,"Before intrusive work, which services are confirmed, probable or unknown within this ceiling, riser or plant area?"
ME-009,Mechanical and electrical engineers,capability,document-quoted,fire_life_safety|sensor_telemetry|survey_condition,"Is there verified physical, service and maintenance-access capacity for the proposed M&E addition in this plantroom or riser?"
ME-010,Mechanical and electrical engineers,planner,honest-capability-answer,sensor_telemetry|space_inventory,"Which facts may use the May 2021 floor plan as historical context, and which present-day claims need current evidence?"
ME-011,Mechanical and electrical engineers,capability,document-quoted,asset_register|meter_energy|sensor_telemetry,"What is the evidenced maximum electrical demand, and what bounded headroom can be stated without treating it as design capacity?"
ME-012,Mechanical and electrical engineers,capability,honest-capability-answer,asset_register|bms_plant|it_network|meter_energy|sensor_telemetry,"Are any switchboards or distribution boards materially phase-imbalanced, and is neutral loading credible enough to investigate?"
ME-013,Mechanical and electrical engineers,capability,honest-capability-answer,bms_plant|meter_energy|sensor_telemetry,Which metered M&E systems are genuinely coincident with the building electrical peak rather than simply high annual consumers?
ME-014,Mechanical and electrical engineers,analytics,answered-with-data,bms_plant|meter_energy|sensor_telemetry,"Is there defensible evidence of voltage, frequency, unbalance or harmonic power-quality problems at critical distribution points?"
ME-015,Mechanical and electrical engineers,capability,document-quoted,asset_register|it_network|meter_energy|sensor_telemetry|user_reports,"Which loads are verified on UPS, generator or other resilient supplies, and what evidence exists for ride-through or autonomy?"
ME-016,Mechanical and electrical engineers,capability,answered-with-data,access_control|bms_plant|cmms_work|it_network|sensor_telemetry|user_reports,"What is the most defensible timeline for the last outage, voltage disturbance or unexplained plant reset?"
ME-017,Mechanical and electrical engineers,capability,document-quoted,asset_register|meter_energy|sensor_telemetry,"Which feeders or boards show sustained loading that warrants detailed cable, protection and capacity checks?"
ME-018,Mechanical and electrical engineers,capability,honest-capability-answer,asset_register|meter_energy|sensor_telemetry,"Can this location plausibly support a proposed high-load item, and which electrical design checks remain mandatory?"
ME-019,Mechanical and electrical engineers,capability,honest-capability-answer,bms_plant|meter_energy|sensor_telemetry,"How large is the persistent electrical baseload, and which verified M&E end-use groups account for it?"
ME-020,Mechanical and electrical engineers,capability,honest-capability-answer,asset_register|sensor_telemetry,"What are the credible service consequences if one electrical supply, board or resilience component becomes unavailable?"
ME-021,Mechanical and electrical engineers,capability,honest-capability-answer,bms_plant|sensor_telemetry|user_reports|weather_external,Is this AHU delivering the air conditions and operating states expected for the zones it is verified to serve?
ME-022,Mechanical and electrical engineers,capability,document-quoted,bms_plant|sensor_telemetry|user_reports,"When a heating or cooling coil underperforms, does evidence point to coil, water-side, air-side or control limitations?"
ME-023,Mechanical and electrical engineers,compliance,answered-with-data,bms_plant|project_handover|sensor_telemetry|user_reports,"Are VAV boxes or dampers distributing air in line with current design intent, and which zones need airflow verification?"
ME-024,Mechanical and electrical engineers,capability,honest-capability-answer,asset_register|bms_plant|sensor_telemetry,"Is the AHU heat-recovery section delivering useful recovery, and do bypass or frost-control states explain poor performance?"
ME-025,Mechanical and electrical engineers,capability,answered-with-data,bms_plant|meter_energy|sensor_telemetry,"Is fan electrical demand proportionate to delivered airflow and pressure duty, or does the air system need investigation?"
ME-026,Mechanical and electrical engineers,sensor_data,answered-with-data,bms_plant|meter_energy|sensor_telemetry|user_reports,"Is this heating or chilled-water circuit delivering expected flow and temperature difference, and where is hydraulic constraint most likely?"
ME-027,Mechanical and electrical engineers,capability,answered-with-data,bms_plant|sensor_telemetry,Is the pump differential-pressure strategy satisfying the critical branch without excessive pumping or throttling?
ME-028,Mechanical and electrical engineers,capability,document-quoted,bms_plant|sensor_telemetry|user_reports,Are heating and cooling being delivered simultaneously beyond what the approved control intent requires?
ME-029,Mechanical and electrical engineers,sensor_data,answered-with-data,bms_plant|sensor_telemetry,"What evidence exists for ventilation delivery in this zone, and which claims still require direct airflow or balancing measurements?"
ME-030,Mechanical and electrical engineers,capability,honest-capability-answer,asset_register|bms_plant|sensor_telemetry|user_reports,"For a persistent hot or cold zone, which M&E causes are best supported and which still need field testing?"
ME-031,Mechanical and electrical engineers,analytics,answered-with-data,meter_energy|sensor_telemetry,"What is the current building water-use baseline, and how much reconciles to verified submetered branches?"
ME-032,Mechanical and electrical engineers,sensor_data,answered-with-data,meter_energy|sensor_telemetry,Is persistent out-of-hours water flow strong enough to justify a targeted leak or uncontrolled-flow investigation?
ME-033,Mechanical and electrical engineers,metadata,answered-with-data,sensor_telemetry|statutory_compliance,"Is the domestic hot-water plant recovering and circulating as intended, without turning telemetry into a hygiene-compliance claim?"
ME-034,Mechanical and electrical engineers,sensor_data,answered-with-data,sensor_telemetry|statutory_compliance,Do cold-water temperature patterns justify a competent-person water-hygiene investigation?
ME-035,Mechanical and electrical engineers,capability,answered-with-data,meter_energy|sensor_telemetry,Is there enough evidence that water pressure and flow are adequate at the hydraulically difficult parts of the system?
ME-036,Mechanical and electrical engineers,metadata,answered-with-data,asset_register|security_incident|sensor_telemetry|survey_condition,"Is there engineering evidence of an emerging drainage blockage, surcharge or local flooding condition in a monitored area?"
ME-037,Mechanical and electrical engineers,capability,document-quoted,bms_plant|it_network|meter_energy|sensor_telemetry|user_reports,Is this sump or drainage pump cycling or running in a pattern that warrants maintenance investigation?
ME-038,Mechanical and electrical engineers,capability,document-quoted,meter_energy|sensor_telemetry,Do main and sub-water meters reconcile well enough to support branch-level engineering conclusions?
ME-039,Mechanical and electrical engineers,analytics,answered-with-data,asset_register|meter_energy|sensor_telemetry,What is the engineering demand pattern on this water branch without inferring individual behaviour?
ME-040,Mechanical and electrical engineers,capability,honest-capability-answer,asset_register|permit_control|policy_governance|sensor_telemetry|user_reports,"Which services are documented as affected by a planned water isolation, and which dependencies remain unverified?"
