fragment,mentions
roadmap/feature-backlog files in inputs/,1
building/intents config,1
roadmap/backlog documents in inputs/,1
current capability lookup,1
grouped feature formatting,1
privacy/control docs retrieval,1
privacy processing register (new inputs/ file,1
biometric/privacy processing register (new inputs/ file,1
query kb/topology,1
synthesize layered explanation,1
design-life/specification docs (new inputs/ file,1
retrieve building age,1
asset/design/condition ingestion,1
refurbishment-history retrieval,1
latest-date selection,1
lift usage/wait-time telemetry,1
mep/as-built services files in inputs/,1
mep/as-built services documents,1
utility supply and plant metadata,1
mep/utility document ingestion,1
subsystem extraction,1
structural/seismic design docs as inputs/ files,1
structural/seismic assessment model,1
structural drawings/calculations/certificates in inputs/,1
seismic hazard feed,1
structural document retrieval,1
seismic hazard lookup,1
structural assessment/model,1
access-control audit logs,1
access-log query,1
threshold/control-sequence reasoning,1
manufacturer lifespan specs,1
add spec file to inputs/,1
sampling-interval calculation,1
manufacturer datasheet/spec file (inputs/,1
manufacturer datasheet/component spec file (inputs/,1
component/datasheet lookup,1
control-logic/fallback lookup,1
impact inference,1
datasheet/protocol spec lookup,1
device metadata/doc retrieval,1
usability synthesis,1
sensitivity value extraction,1
safeguard extraction,1
range extraction,1
accuracy metadata/datasheet lookup,1
server/cloud compute specs in inputs/,1
infrastructure monitoring api/server specs,1
normalize compute metrics,1
intents.yaml/current system capabilities,1
building config/capability lookup,1
intents/config,1
intents/config and kb lookup,1
intents/building configuration,1
general green-roof feasibility knowledge,1
structural roof-load files in inputs/,1
campus gis/vegetation/sightline data source,1
estates/planning rules in kb,1
structural/planning/gis ingestion,1
operations workflow docs,1
synthesize controls/workflows,1
optional reservation action,1
emergency phone/landline location dataset,1
emergency-phone asset lookup,1
nearest-path calculation,1
travel-time estimation,1
utility bill or meter-reading records,1
optional [new] bill/reading retrieval,1
resolve bedroom/lamp assets,1
compare/rank cooler areas,1
filter sleep window,1
resolve betsy's room,1
capture/ask current floor/location,1
route/safety response,1
apply comfort principles,1
floor count/label check,1
threshold summary,1
all-floor live feed retrieval,1
general accessibility standards,1
live lift status feed,1
lift spec/status retrieval,1
calculate transmission margin,1
general standards knowledge,1
filter excluded technologies,1
adequacy check,1
modality availability check,1
derive glare index,1
room/control-link check,1
active-use check,1
ingest finishes/paint spec,1
design-brief retrieval,1
apply building-physics explanation,1
ui/icon legend facts (new inputs/ yaml,1
ui icon legend in inputs/ yaml,1
icon legend kb lookup,1
embodiment capability lookup,1
capability flag check,1
"architectural design brief (new inputs/ file, optional",1
architectural design brief/press notes in inputs/ folder,1
identity intent,1
rain-barrel and wind-turbine asset/o&m docs (new inputs/ files,1
design-feature retrieval,1
incident/risk register files (inputs/ file,1
incident logs/risk register,1
cyber vulnerability data,1
incident/access/cyber retrieval,1
device-meter mapping/cost-allocation metadata,1
frequency feed retrieval,1
standard/threshold lookup,1
design brief/budget/accessibility criteria file in inputs/,1
"design brief, budget and accessibility goals inputs file",1
multi-criteria analysis,1
structural foundation drawings,1
structural/geotechnical document retrieval,1
hidden-issues synthesis,1
workspace metadata,1
stair/lift traffic retrieval,1
map session to driver,1
notification rule check,1
aq sensor ingestion,1
co/exhaust sensor ingestion,1
wireless sensor asset/control metadata,1
siem logs,1
vulnerability scans,1
it architecture file in inputs/,1
threshold rule lookup/config,1
define outcome and user segments,1
machine/computer asset telemetry/control data,1
pa/digital-signage/mobile notification api,1
general implementation heuristics,1
locate cafe,1
access-control identity events,1
lobby entry events,1
consented greeting/profile database,1
signage/audio control endpoint,1
subscribe to [new] lobby identity events,1
retrieve greeting profile,1
physical access-control logs,1
iam/access-log retrieval,1
roster-vs-event analysis,1
subscription/notification rule,1
window/opening sensor metadata/feed,1
failure-mode reasoning,1
compare all plugs vs smart plugs,1
room feature summary,1
resilience/failover documentation (new files in inputs/,1
network/protocol lookup,1
access sensor registry lookup,1
alexa/voice-assistant api credentials and device registry,1
voice-assistant api pairing,1
network diagrams in inputs/ folder,1
network architecture files in inputs/,1
network dependency lookup,1
classify local vs internet-dependent,1
smart-lock/access-control status feed,1
resolve data-centre room,1
door-sensor mapping lookup,1
compare linked doors,1
system current date/time,1
person resolution,1
working-status assessment,1
privacy-scope reasoning,1
notification mechanism lookup,1
compare variable vs fixed/range,1
accessibility/accommodation procedure file in inputs,1
safety constraint retrieval,1
yes/no response with conditions,1
optional current zone sensor lookup,1
control capability/approval check,1
proximity check,1
general accessibility/usability criteria,1
accessibility/signage audit,1
resolve ambiguous 'safe' entity,1
ingest entity operating hours if absent,1
compare with building hours,1
roof/green-roof plan inputs,1
roof plan/barrier ingestion,1
roof green-space plan as inputs/,1
hvac o&m/risk-assessment files in inputs/,1
general llm hvac safety guidance,1
roof green-space plan,1
hvac clearance/exhaust metadata,1
o&m/risk-assessment documents,1
roof/hvac hazard data ingestion,1
general llm accessibility guidance,1
permit or building demand data,1
incident/escort logs,1
signage audit/photos and evacuation-map files in inputs/,1
evacuation-map and signage audit files,1
accessible-format records,1
signage and evacuation-map audit ingestion,1
accessibility compliance check,1
retrieve comfort reports and live temp/humidity,1
door/contact sensor status feed,1
rule synthesis,1
standards/context synthesis,1
compare area vs person customisation,1
retrieve bldg1 profile,1
candidate building retrieval,1
similarity matching,1
as-built specs/bim/epd files (inputs/ files,1
certification records,1
metric retrieval,1
architectural specification files,1
categorize/compare sources,1
university/building active-threat lockdown protocol document,1
protocol kb retrieval,1
public-safe redaction,1
compliance formatting,1
structural/resilience design documents (new files in inputs/,1
local hazard maps/data,1
uk/wales building-code or resilience standards,1
ingest structural documents,1
retrieve hazard/code data,1
count distinct organizations,1
inputs asset file,1
inputs capability/asset file,1
retrieve lift mode events,1
control-log retrieval,1
compare rules,1
display mapping lookup,1
glare-control data ingestion,1
severity filtering,1
issue log retrieval,1
resolve target system,1
incident/alarm retrieval,1
group by floor/zone/equipment,1
floor/zone/equipment meter mapping,1
resolve event/time context,1
wind feed/threshold config retrieval,1
resident-channel lookup,1
hvac status/event retrieval,1
downtime event detection,1
compare change dates to intervals,1
compare count to limit,1
privacy-topic filter,1
count/existence check,1
ownership record retrieval,1
distinct-owner count,1
suitability inference,1
eligibility threshold selection,1
app/signage registry/api,1
kb lookup public hours,1
ingest generator/equipment/spec data,1
support-contact lookup,1
time-of-day analysis,1
derive replacement interval,1
commissioning metadata retrieval,1
ingest smart-plug locations,1
coverage check,1
generator specs,1
ingest generator/circuit/load data,1
map circuits to room loads,1
violation-type mapping,1
apartment/unit layout annotations,1
stair features and containment relations if absent,1
unit/stair annotation ingestion,1
building.yaml metadata,1
building-type lookup,1
residential-premise check,1
municipal/legal record lookup,1
heritage registry lookup,1
ownership registry lookup,1
category-wise fee table,1
hoa/property-management record retrieval,1
derive availability,1
portal configuration lookup,1
payment-rule lookup,1
interpret website vs app,1
digital-channel lookup,1
digital-signage panel registry/api,1
door/seal specifications,1
temp/humidity retrieval,1
hvac zone metadata,1
filtration control action,1
return-to-normal control,1
airflow/pathogen dispersion model (new model/data source,1
airflow/pathogen dispersion model,1
airflow/pathogen modelling,1
feasibility/control-plan evaluation,1
o&m/uvgi metadata ingestion,1
semantic window/façade geometry,1
glazing/control-zone lookup,1
cct/dimming/control-point data,1
furniture layout files in inputs/,1
airflow/air-speed measurements or cfd model,1
furniture-layout retrieval,1
fan/vav/control data,1
thermal-comfort and airflow modelling,1
control-plan feasibility validation,1
ingest electrical asset docs,1
compare storage vs direct-generation topology,1
kitchen extract/ventilation status feed,1
generate explanation,1
kiosk/avatar ui service,1
avatar/panel ui rendering,1
compare local indicator vs hub access,1
compliance/risk check,1
approval workflow,1
control-loop command staging,1
access-control database/api,1
keycard/credential store,1
remote/keycard control action,1
outlet-status retrieval,1
sensor mounting/fov metadata,1
ceiling/wall classification,1
photometric specifications and control-zone metadata,1
photometric model,1
signage cms/api,1
signage cms configuration,1
signage/cms lookup,1
link features to hvac zones/occupied areas,1
critical-load registry lookup,1
derive supply/isolation topology,1
compare fixed vs adjustable flow capability,1
inputs/ yaml,1
inputs/ o&m file,1
explain control logic,1
ingest tinting subsystem metadata,1
room/zone linkage,1
field-of-view and sensitivity configuration data,1
fov/sensitivity check,1
door/access metadata retrieval,1
building info kb,1
derive control granularity,1
interaction-channel lookup,1
source classification,1
inputs/,1
upgrade option synthesis,1
scene planning,1
thermal-comfort feature/spec yaml in inputs/,1
comfort feature spec file in inputs/,1
feature synthesis,1
access/people-flow retrieval,1
annotated plan,1
role/group access model,1
compare old vs new,1
screening device/feed check,1
door/lift/turnstile controller status,1
lift/door control status check,1
layered-control explanation,1
notification delivery,1
lift/circulation telemetry,1
notification/signage api,1
general device wattage assumptions,1
collect device/load profile,1
electrical metadata retrieval,1
door-open/status or access-control feed,1
door status/access feed,1
envelope and entrance asset data,1
retrieve indoor temperature where available,1
rank mitigations and savings,1
privacy-preserving audio event classifier,1
privacy-preserving audio-event features,1
general thermal-comfort and heat-safety guidance,1
identify room/floor,1
retrieve live temp/humidity/co2 where available,1
hvac metadata,1
retrofit plan/savings assumptions,1
access-control equipment metadata,1
police liaison protocol,1
police liaison lookup,1
synthesize answer,1
hvac zones,1
upgrade plan,1
collect room/zone,1
identify room/task,1
facilities innovation roadmap,1
cafeteria/gym operator feeds,1
roadmap/operator feed retrieval,1
synthesize improvements/opportunities,1
residential unit/pricing feed,1
comparable property market api,1
neighbourhood/transit/safety feeds,1
comparable market/neighbourhood apis,1
compare timelines by concern type,1
reporting-channel lookup,1
offer/collect feedback fields,1
resolve front door/entryway,1
feature description lookup,1
accessibility audit yaml in inputs/,1
general friendliness criteria,1
accessibility/pet/plant data retrieval,1
stakeholder synthesis,1
compare access/pricing groups,1
compare operating modes/threshold,1
display/dashboard mapping,1
odor detection thresholds/alarm rules,1
explain detection method,1
door lock controller data,1
display lookup,1
hvac o&m/as-built documents (new inputs/ file,1
filtration asset lookup,1
equipment-state retrieval,1
controllability check,1
window-proximity check,1
graph isolation analysis,1
load smart-plug/outlet metadata,1
load electrical topology/control-endpoint data,1
load smart-glass/tint-control data,1
existing co2 point metadata,1
efficiency modelling,1
notification recipient/routing rules,1
recipient resolution,1
backup asset/spec retrieval,1
controller configuration/spec lookup,1
fixture limit extraction,1
infer integration/separation,1
control endpoint lookup,1
any-source check,1
enumerate floors,1
identify restroom rooms/symbols,1
group counts by floor,1
group by type,1
temperature point metadata,1
hybrid plan,1
locate lobby and conference center,1
build accessible route graph,1
exclude stairs/use lifts,1
server-room safeguard metadata retrieval,1
synthesize contingency explanation,1
general safety-threshold knowledge,1
capability/sensor intent,1
floor-0/reception temperature stream,1
resolve reception hvac zone,1
retrieve reception temperature,1
comfort check,1
general walking/stair pace knowledge,1
rooftop/roof-access plan or ttl file,1
roof-access lookup,1
walking-time estimate,1
derive explanation,1
function summary,1
compare with max limit,1
state derivation,1
air velocity/pressure sensors,1
temp/co2/humidity trend retrieval,1
access-control system current lock state,1
entrance/door metadata if absent,1
access-control status read,1
resolve 'here' from context or ask room,1
cafeteria lookup,1
metadata/status intent,1
locate conference room,1
map windows/contact points,1
retrieve current contact status,1
window/blind status,1
resolve/ask room context,1
retrieve temp/humidity/co2,1
causal explanation/visual,1
identify break area,1
compare count to empty threshold,1
visitor-entry and reception capability lookup,1
concurrency check,1
electrical as-built/o&m files,1
electrical backup spec retrieval,1
room/zone resolution,1
section localisation,1
building.yaml/inputs config,1
update/qa log retrieval,1
electrical o&m/resilience docs placed in inputs/ folder,1
frequency feed/status check,1
automation responsibility matrix,1
identify office/hvac zone,1
window-state check,1
hvac lockout command,1
workstation/screen geometry metadata,1
glare sensor or cv retrieval,1
locate room,1
anonymized historical user-question logs,1
historical log retrieval,1
visitor/event history store,1
opt-in assistant interaction logs,1
event/visitor retrieval,1
assistant log match,1
fame/entity check,1
campus/city smart-building assistant deployment registry,1
nearby building registry retrieval,1
intent router,1
control/optimise intent,1
plan adjustment,1
current temp/co2/humidity if hvac-constrained,1
controllable-load status/commands,1
demand/load data retrieval,1
peak-shaving optimisation,1
general visual comfort guidance,1
hvac command,1
retrieve co2/rh/temp,1
ventilation/filtration optimisation,1
general comfort/overheating threshold,1
latest readings,1
door-lock/contact status,1
access/lock/alarm retrieval,1
availability calculation,1
rule/risk synthesis,1
compute corridor area,1
general llm comfort norms,1
outdoor aqi api if outdoor index requested,1
external outdoor aqi api if ambient aqi is requested,1
aqi breakpoint calculation,1
identify scope/zone,1
resolve period/scope,1
rolling dba stats,1
ask for destination/origin if missing,1
identify nearest exit/route,1
filter/rank free rooms,1
existing co2/humidity streams where live,1
ask target if missing,1
general llm comfort/productivity knowledge,1
floor-0-4 live temperature/co2/humidity streams,1
feed ingestion,1
optimisation and planning,1
scope/default selection,1
meter/api retrieval,1
ventilation/control decision,1
general safety-limit knowledge,1
rank highest users,1
parse non-peak window,1
load-reduction plan,1
live temp/humidity retrieval,1
resolve vehicle,1
vehicle registry lookup,1
count free/eligible spots,1
response/ask for start and destination,1
visitor registry/access-control feed,1
privacy-safe fusion,1
general comfort/overheating thresholds,1
risk summary/visual,1
apply safety thresholds,1
general comfort targets,1
compare current time/status,1
status point retrieval,1
unit normalization/rate derivation,1
compute pf if needed,1
general glare/visibility criteria,1
context/location resolution,1
room average/latest selection,1
threshold/detection check,1
contact-status latest reads,1
area list,1
general aqi formula/category thresholds,1
aqi/sub-index computation,1
sensor_data/discovery intent,1
room table formatting,1
user location/room binding,1
fuse environmental and activity signals,1
scope/location resolution,1
lift/facility fault feed,1
lift/facility fault events,1
safety scope resolution,1
safety alarm feed retrieval,1
retrieve current readings,1
subsystem health/status feeds,1
alarm/status/log retrieval,1
subsystem health synthesis,1
workstation/screen/window locations,1
comfort threshold assessment,1
compute call-to-arrival waits,1
general temperature threshold guidance,1
resolve rooftop entity,1
rooftop temperature retrieval,1
resolve “here”/location,1
retrieve available temp/co2/humidity,1
status/test-log retrieval,1
fault/test validation,1
retrieve latest/rolling co2,1
general thermal comfort threshold,1
retrieve latest/rolling temperature,1
retrieve recent co2 series,1
threshold-risk interpretation,1
retrieve proxy sensor data,1
data-fusion use inference,1
health-log check if available,1
resolve meter/scope,1
select threshold,1
window-to-room mapping,1
contact/status retrieval,1
open-state and duration check,1
resolve door/space,1
compare with recency window,1
existing co2/temperature/humidity where live,1
general humidity comfort range,1
alarm check,1
non-confidential fact selection,1
playful response,1
general safety knowledge,1
procedure/asset retrieval,1
issue lock commands,1
network/device logs,1
network log retrieval,1
user notification/subscription api,1
resolve or ask current location,1
ap-to-floor mapping,1
visual status,1
availability fusion,1
"access-control, turnstile and visitor-log feeds",1
uncertainty check,1
read latest temperature if available,1
entity disambiguation(unit,1
validate 100%,1
optional user/location context,1
compute threshold,1
notify/response,1
rank actions,1
latest availability retrieval,1
count open stations,1
roof door/contact sensor status feed,1
latest door status retrieval,1
rooftop feed retrieval,1
cleaning log/checklist feed,1
cleanliness/cv and cleaning-log retrieval,1
coffee machine/pot telemetry feed,1
door-contact/access-control status feed for front entrance,1
door-contact/access-control retrieval,1
current-state check,1
general llm/ashrae server-room temperature guidance,1
0 check,1
kb hours query,1
resolve current/selected zone,1
sensor fusion/de-duplication,1
latest contact-status retrieval,1
derive occupied boolean,1
apartment 412 space metadata,1
count/list formatting,1
access-control/door-lock status feed,1
building-type/capability lookup,1
group amenities,1
collection/vendor logs,1
capability/action planning,1
multi-feed retrieval,1
health criteria selection,1
extra sensor/log retrieval,1
remediation/control plan,1
gis/site data ingestion,1
existing humidity sensors,1
user-provided origin and destination,1
meter/circuit-to-area mapping,1
alarm/telemetry ingestion,1
access-control system status,1
retrieve latest/recent temperature,1
compare to safe range,1
av connect/pair command,1
resolve/disambiguate meeting room,1
resolve open office,1
recent stats,1
people-detection retrieval,1
local crime feed,1
general air-quality safety thresholds,1
live stream registry check,1
explanation intent,1
synthesize by subsystem,1
compare with target,1
notify/respond,1
general ventilation-control knowledge,1
disambiguate activity type,1
synthesize hvac comfort explanation,1
approval,1
"sensor metadata for co2, humidity and temperature",1
response synthesis,1
optimisation/modeling,1
safety-feed retrieval,1
rank at-risk equipment,1
retrieve live readings/reports,1
floor issue summary,1
set or ask time range,1
rank abnormal readings,1
meter latest retrieval,1
latest hvac status/alarm retrieval,1
latest boiler status/alarm retrieval,1
resolve chiller system,1
chiller telemetry/alarm retrieval,1
flow-rate retrieval,1
resolve door,1
door/access event retrieval,1
retrieve live co2/humidity/temp,1
filter occupied rooms,1
safety interlocks,1
parse room/time,1
availability logic,1
session room/building context,1
infer current scope,1
determine on/off,1
optimization planning,1
comfort constraint check,1
fuel or purchase records if applicable,1
controllable-asset metadata,1
control-loop validation,1
blinds metadata,1
control/network connectivity relations,1
metadata ingestion,1
compare to norm,1
workstation/screen/window geometry,1
workstation/window geometry annotations,1
dimmer point lookup,1
sensor/display intent,1
retrieve hvac zones and co2,1
compare zones,1
hvac sequence-of-operations file in inputs/ + kb,1
hvac sequence-of-operations document,1
ventilation data retrieval,1
hvac as-built/o&m asset file in inputs/,1
hvac as-built/o&m asset register,1
asset-document lookup,1
equipment existence check,1
masking-controller log check,1
3d bim/ifc model,1
map to [new] 3d model,1
airflow/vav telemetry,1
retrieve current temp/co2/humidity,1
assess comfort,1
create request,1
rank quiet available spots,1
movement retrieval,1
assess controls vs standards,1
critical-load/equipment dependency model,1
critical systems dependency and operating-mode data,1
critical-system impact synthesis,1
current temperature/co2/humidity streams,1
causal/compare intent,1
stream alignment,1
align and clean streams,1
regression/causal controls,1
utility bills,1
meter/bill/factor retrieval,1
accuracy/error analysis,1
main meter/electrical topology ttl in inputs/,1
ingest main-meter topology,1
meter heartbeat/log retrieval,1
official construction start and completion dates,1
general hvac operating principles,1
resilience/design ttl or capability yaml in inputs/,1
climate/flood/wind hazard feed,1
hazard api retrieval,1
system-flow extraction,1
plant-type extraction,1
window/glazing as-built specs (new files in inputs/,1
window/glazing as-built specification file in inputs/,1
ingest glazing specs,1
query window properties,1
gather current building evidence,1
rank/list devices,1
collect threshold/granularity if missing,1
notify/log,1
ask/assume time range and granularity,1
rank peak periods,1
lift controller api,1
lift controller feed,1
define critical systems,1
live status/alarm retrieval,1
electrical stability thresholds,1
stability verdict,1
live temperature/co2/humidity streams where available,1
retrieve current room telemetry,1
ranked risks,1
live available environmental streams,1
notification recipient/channel registry via external notification api,1
monitor live streams/alarm feeds,1
detect failure,1
health-rule derivation,1
wait 1h,1
av controller/network status logs,1
room/device lookup,1
diagnostic pass/fail derivation,1
general pressure-control guidance,1
control/dispatch action,1
ventilation control-point feed,1
ventilation control planning,1
general humidity/comfort guidance,1
hvac humidity-control planning,1
place resolution,1
room set resolution,1
compare to target,1
monitor co2,1
resolve 'here'/zone,1
current system date,1
compute/format age,1
latest db(a) retrieval,1
resolve/ask location and task,1
general thermal comfort guidance,1
equipment state/smart-plug telemetry,1
equipment state telemetry,1
map circuits/equipment,1
resolve usage metric/time range,1
retrieve tou windows,1
resolve building location,1
threshold compare,1
rank visit windows,1
confirm guidance ability,1
ask for destination/start or provide route options,1
dialogue-supplied location or metric,1
general llm comfort range,1
humidity latest retrieval,1
location/equipment resolution,1
fault inference,1
general overheating thresholds,1
horizon/location resolution,1
temperature history/latest retrieval,1
threshold risk assessment,1
general llm safety/comfort guidance,1
access/check-in api query,1
derive active check-ins,1
threshold/status derivation,1
nearest-free ranking,1
select control plan,1
resolve workspace/task,1
general electrical-efficiency thresholds,1
classify normal/inefficient,1
compute latest and stability metrics,1
latest value retrieval,1
general visual-comfort/glare thresholds,1
contact/event retrieval,1
temporal filter,1
aqi sub-index calculation,1
compare to thresholds,1
latest co2 read,1
user/session location or room stated in dialogue,1
segment vacant periods,1
action plan,1
sum latest counts,1
retrieve recent temp/co2/rh,1
retrieve current temp/recent trend,1
retrieve temperature trend,1
retrieve current/trend data,1
general health/ieq guidance,1
retrieve general thresholds,1
multimodal ieq retrieval,1
normalise intent to 'improve ventilation',1
query hvac and co2 points,1
retrieve latest/trend,1
control strategy,1
send ventilation command,1
monitor co2/airflow feedback,1
task/workspace metadata,1
compare to task threshold,1
intervention cost/asset records,1
criteria checklist,1
general humidity comfort/control range,1
floor/room roll-up,1
retrieve sensor telemetry,1
subsystem roll-up,1
general overheating/comfort thresholds,1
room/floor roll-up,1
general server temperature limits,1
exception list,1
incident log retrieval,1
general charging formula,1
evse status retrieval,1
count free spaces,1
general accessibility/egress criteria,1
apply accessibility/egress criteria,1
safety/hazard sensor feed,1
resolve inside scope,1
rolling averages/threshold classification,1
response with limitations,1
diagnose source,1
latest timestamp calculation,1
optional meter summation,1
latest flow telemetry,1
daily delta/sum,1
compare with comfort threshold,1
max timestamp,1
session/current location,1
session/current room,1
retrieve latest state,1
compare count/status,1
general safety thresholds,1
compare to safety thresholds,1
compute mean/peak,1
threshold safety assessment,1
control-plan validation,1
time-range resolution,1
objective/constraint resolution,1
quick optimization,1
monitor effects,1
read temp/co2/humidity,1
assess ventilation,1
plan safe adjustment,1
compute density/limit status,1
retrieve temp/humidity trend,1
choose safe mitigation,1
compute safe increase,1
retrieve temp/co2/humidity trends,1
ranked causes with evidence,1
drainage/flood-resilience design files in inputs/,1
flood/drainage data ingestion,1
hvac/envelope humidity design specs in inputs/,1
whole-building rh/design-limit ingestion,1
whole-building ieq feed ingestion,1
rainfall context,1
inputs document ingestion,1
pressure feed ingestion,1
intra-room probe/thermal data if sensor coverage is sparse,1
stream/probe ingestion if needed,1
normalise room categories,1
resolve target room and expected band,1
retrieve telemetry,1
resolve place,1
retrieve temperature trends,1
data alignment,1
capability/status check,1
evaluate optimization objective/status,1
retrieve temperature,1
apply general comfort guidance,1
compare with comfort band,1
available point telemetry,1
telemetry gap analysis,1
floor-3 live rh retrieval,1
rank quietest areas,1
ratio calculation,1
model-predictive pre-cooling optimizer (new method,1
current temp/humidity retrieval,1
pre-cooling optimization,1
latest hvac mode/status retrieval,1
join/filter zones,1
available temperature/co2/humidity metadata,1
general safety principles,1
safety-measures synthesis,1
hvac state/command telemetry,1
causal synthesis,1
rainfall and garden-demand retrieval,1
monitoring intent,1
bathroom asset and sensor ingestion,1
sds/product documents in inputs/,1
barcode/rfid/cv detection feed,1
sds/procurement/use-log ingestion,1
hazard classification,1
safer-alternative matching,1
existing temperature/co2/humidity streams where available,1
hvac ventilation/status feed,1
threshold risk scoring,1
monitor/override,1
notification endpoint/signage/mobile channel,1
threshold/rule check,1
user analysis/query history,1
annual historical archive/backfill if absent,1
retrieve full-building annual/user-history data,1
identify overlooked analyses,1
rank priorities,1
analysis result payloads,1
format simple summary,1
expose advanced drill-down/visuals,1
optimise feasible swaps,1
rank easy fixes,1
profile/consent lookup,1
recipient selection,1
general health/aq threshold knowledge,1
identify aq issue,1
retrieve live aq,1
apply health-threshold rules to profiles,1
select recipients,1
general aq threshold knowledge,1
app/display location registry,1
user/display location lookup,1
live aq retrieval,1
aq score/threshold formatting,1
general health/allergy guidance,1
allergy profile/consent store,1
live temp,1
allergen/aq retrieval,1
health-risk/rule scoring,1
plan filtration change,1
monitor aq/comfort,1
monitor/usage/glare retrieval,1
scenario detection,1
scene selection,1
general comfort rules,1
trend normalisation/exclusion,1
shiftability and savings analysis,1
create suppression/exception rule,1
notification control update,1
use-state inference/model scoring,1
mass-notification api (new api,1
egress-route ttl/yaml in inputs,1
mass-notification api logs,1
egress metadata retrieval,1
hotspot detection,1
employee notification api (new api,1
car-park metadata,1
patrol/incident logs,1
employee notification api,1
employee notification workflow,1
reservation/control transaction,1
car-park and fan metadata ttl/yaml,1
fan status/control logs,1
shadow/irradiance modelling,1
tank/flow/quality/demand sensor feeds,1
tank level/flow/quality sensor feed,1
end-use demand sensor feed,1
available temp/co2/humidity where streamed,1
odor threshold yaml/ttl in inputs/,1
revised layout drawings/ttl/yaml via inputs/ folder,1
ingest revised layout files,1
display/kiosk endpoint configuration,1
equipment activity audit feed,1
access-control identity logs,1
equipment audit/activity logs,1
ingest access/activity logs,1
lock/door-controller state/logs,1
retrieve iam identities,1
server-room cooling specs,1
mep spec ingestion,1
monitor sensor feedback,1
compare booked vs occupied,1
count/group by detected quantity,1
zoning/control explanation,1
identify open-plan zone,1
synthesize options,1
device and standby-load controller lookup,1
fan-speed telemetry/control feed,1
ventilation safety check,1
live floor-0-4 temperature/co2/humidity streams,1
reset strategy and safety check,1
controller read/write,1
control-loop confirmation,1
audit log store,1
create temporary suppression rule,1
update notification api,1
bypass request and audit store,1
write bypass to access/alarm api,1
monitor expiry/re-enable,1
monitor open event and timeout,1
safety interlock check,1
issue close command,1
child/pet validation dataset and cla,1
apply general comfort/privacy rules,1
humidity sensor metadata,1
control-strategy lookup,1
12-month temperature archive,1
user sensor feed,1
sensor onboarding/feed registration,1
validate conflicts/safety,1
pet-feature tag filter,1
if requested deletion workflow,1
device sync/account-linking api,1
compatibility lookup by device type,1
service-continuity and failover documents in inputs/,1
ingest network/cloud architecture docs,1
dependency/failover mapping,1
emergency resilience/fail-safe documentation in inputs/,1
ingest emergency/fail-safe docs,1
fail-safe/lifecycle retrieval,1
dependency synthesis,1
feature catalogue retrieval,1
user usage log retrieval,1
consent status lookup,1
read disabled state,1
control eligibility plan,1
triage severity,1
explain/options,1
guest approval workflow/ticketing api,1
approval workflow/contact retrieval,1
gis/albedo/greenery files (inputs/,1
general uhi knowledge,1
gis/albedo/greenery data,1
map/visuals,1
facility metadata ingestion,1
monitor until below safe threshold,1
reference-feed retrieval,1
hvac filter and air-cleaner specification files (inputs/ file,1
filtration spec lookup,1
equipment/area lookup,1
controller log/status retrieval,1
wake command/control-loop check,1
emergency override/accessibility procedure file in inputs,1
emergency override/accessibility procedure yaml,1
safety/accessibility rule check,1
override/control path validation,1
safety-constrained dispatch/control plan,1
retrieve environmental streams,1
efficiency opportunity modelling,1
sensor health telemetry,1
planning-use synthesis,1
general emergency-response principles,1
accuracy metrics,1
override-interface check,1
approval or denial summary,1
monitor effect,1
latest/threshold retrieval,1
monitor deviation,1
general co2 threshold guidance,1
identify meeting room,1
threat analysis,1
emergency override docs lookup,1
feasibility analysis,1
façade/shading metadata,1
sensor coverage check,1
live temperature coverage check,1
local grid demand feed,1
flow/supply-return telemetry,1
calculate cop/eer/spf,1
controllable-load metadata,1
control-loop dispatch,1
emergency procedures file (inputs/ yaml,1
egress-route annotations,1
pa/signage/mobile notification api,1
emergency procedures file,1
route optimization,1
monitor/replan,1
cyber-audit/threat model files (inputs/,1
access/door log retrieval,1
cyber-audit lookup,1
causal risk analysis,1
evacuation drill/compliance files (inputs/,1
evacuation drill/compliance documents,1
emergency trust intent,1
person-sensor event retrieval,1
access-control/identity records,1
permit/payment eligibility records,1
retrieve user entitlement/payment status,1
control enable/deny,1
labelled fault/action log,1
join labelled actions/context,1
compute precision/recall/false alarms,1
access-control database/api and credential logs,1
roof plan/safety zones file (inputs,1
roof plan/safety zones file in inputs/,1
access-control and permit logs,1
equipment/loto records,1
optional [new] bin-fill feed,1
intents config,1
current component metadata,1
component/config lookup,1
synthesize concurrent-session explanation,1
visitor-detection sensor feed,1
visitor-management/check-in api,1
visitor-detection event ingestion,1
check-in/visitor registry lookup,1
access-control/door event stream,1
access/person-detection ingestion,1
hvac fault/status retrieval,1
ingest cyber docs/assets/logs,1
asset/control mapping,1
vulnerability/risk analysis,1
scenario/safety intent,1
subsystem sequence synthesis,1
rush-hour/off-peak segmentation,1
current intent registry,1
determine start location,1
resolve current/start location,1
route selection,1
rooftop/green-roof plan/metadata file in inputs/,1
wildlife feed ingestion,1
activity stream retrieval,1
idle-rule evaluation,1
lift dispatch/status/wait-time logs/api,1
queue/wait sensor feed,1
dispatch optimisation,1
workstation/monitor layout file in inputs/,1
smart blind status/control feed,1
workstation/monitor layout inputs,1
rainfall and runoff retrieval,1
extreme-event detection,1
bio-contaminant sensor/lab ingestion,1
threshold-duration detection,1
controllable vent/dampe,1
comfort optimization,1
