turn,phase,title,status,depends_on,effort,objective,why,alternatives_rejected,building_agnostic_how,key_steps,files,input_files,acceptance_criteria,verify,notes
V6-T57,P12-SyntheticData,"Institutional context pack (timetable, bookings, hours, closures, desks)",in_progress,V6-T56,L,"Provision the institutional layer: teaching timetable, room bookings/reservations, opening hours and closures, and desk/workspace allocation.","The largest single unlock in the bank: opening hours appear in 271 of 480 questions (56%), bookings in 249 (52%), timetable in 99 (21%), desk allocation in 17. These are also the sources the catalogues insist must be AUTHORITATIVE - 'an empty room is not available' - so without them the source-precedence rule (T21) has nothing to prefer.","Inferring bookings from occupancy sensors (precisely the inference R-8 forbids); a single flat calendar file (cannot express entitlement, capacity rules or closure reasons).",Generated against the building's own spaces and declared hours; capacities and permitted use come from the graph. No timetable content is invented for a space the building does not have.,1) Model timetable/booking/hours/allocation as graph entities + event rows. 2) Coherent with occupancy where both exist (a booked room shows people). 3) Include closures and out-of-hours. 4) Route through the T25 adapter shape so the path is the real one.,scripts/provision_synthetic_sources.py; orchestrator/services/adapters/mysql_events_adapter.py,input/<id>/synthetic_sources.yaml; input/database_registry.yaml,Booking/timetable/hours questions answerable on all three buildings; answers cite the authoritative source and declare it simulated; occupancy and bookings do not contradict each other.,Replay the catalogue questions tagged with these sources; check precedence and provenance.,"Pairs with T21 (precedence) and T22 (never infer permission). [2026-08-25] MOSTLY DELIVERED. timetable (T56 leg), bookings + forward calendar, opening hours and closures are all provisioned and answerable, and closures now answer instead of FILING A TICKET (BUG). Bookings are derived from each room's occupancy driver, so occupancy and bookings cannot contradict each other by construction - the T57 coherence criterion. STILL OWED: desk/workspace allocation (CAVEAT, currently answers '0 desks available' which reads as 'all taken' rather than 'not modelled'), and the bldg2/bldg3 legs."
V6-T58,P12-SyntheticData,"Service and asset state pack (lifts, AV, network/IT, equipment readiness)",in_progress,V6-T56,M,"Provision service-state sources: lift run/fault status, AV and teaching-equipment health, network and IT service state, and equipment/lab readiness.","Lift status appears in 162 questions (34%), network/IT in 158 (33%), AV in 94 (20%). They are also the sources behind the catalogues' 'a green heartbeat is not proof a device will work' rule, so they are needed to test that the system reports service state without over-claiming from it.","Treating these as always-healthy (they would never exercise the fault paths, and 'is the lift working' is a question specifically because sometimes it is not).",Instances attach to whatever lifts/rooms/equipment the building's graph declares; a building with no lift simply provisions none and answers honestly.,"1) Model service state with status + since + fault reason. 2) Generate realistic outage episodes, not permanent health. 3) Bind to graph entities. 4) Accessibility interaction: a lift outage invalidates step-free routes that depend on it.",scripts/provision_synthetic_sources.py; orchestrator/services/route_finder.py,input/<id>/synthetic_sources.yaml,Service-state questions answerable; outages appear and clear; a lift outage correctly removes dependent step-free routes rather than leaving them labelled accessible.,Replay lift/AV/network questions; verify the route interaction under an outage.,"The lift-outage/step-free interaction is the sharpest test of T38. [2026-08-25] LANE BUILT, EPISODES OWED. The status triples existed and NOTHING QUERIED THEM - grep found zero references to AssetStatus anywhere in orchestrator/, so 'are the lifts working?' answered 'this building does not have lift sensors' with the status in the graph. Built services/asset_state_service.py + intent + node + _response_node collection, plus a routing rule and the capability-bypass entry without which no parse-stage rule can reach a short-circuited question (8th member of BUG-231's family). Live: lifts/AV/network all answer, with observation time, a last-KNOWN-state caveat past 24h, the assistance contact on an outage, and declared simulated provenance. STILL OWED: outage EPISODES that appear and clear (statuses are a static snapshot, CAVEAT), and the accessibility interaction - a lift outage must invalidate step-free routes that depend on it. [2026-08-26] EPISODES DONE. A status is not a fact but the current value of something that changes, and it had been provisioned as a fact -- one status per asset, stamped once, never updated -- so nothing had ever broken or been fixed and the staleness caveat fired on every answer (which made it stop meaning anything). outages_for_day() models them like work orders; the lane treats an OPEN episode as authoritative over the graph triple and names the fault reason and the assistance contact. Live: '1 of 1 lift(s) are not operational: Main passenger lift (controller fault) (out of service since 47 hours ago). Report or chase it with: Estates helpdesk, ext 1234.' Two defects fell out: the guard suppressed an answer over an age rendered only for the prose, and a live outage carried a caveat saying it was not a live state. STILL OWED for T58: the accessibility interaction -- a lift outage must invalidate the step-free routes that depend on it. [2026-08-26 #2] ACCESSIBILITY INTERACTION DONE. A lift with an open outage is now excluded from step-free routing rather than penalised -- a broken lift is not a slower way up, it is not a way up -- and when that removes the route the answer NAMES the outage instead of saying 'no step-free route', which reads as a permanent property of the building. The lookup runs only for step-free questions and can never break routing: a failure leaves the route exactly as it was. Pinned on a two-floor fixture (8 tests) because measuring bldg1 turned up a data gap that makes it undemonstrable there: 344 route nodes, ZERO typed lift or staircase, 4 cross-floor edges in the whole building, and floor 0 to floor 3 returns no route by any method. Logged as a CAVEAT rather than papered over -- synthesising lift shafts would mean inventing measured geometry. T58's three criteria are now: service-state questions answerable (done), outages appear and clear (done), lift outage invalidates dependent step-free routes (done in code, undemonstrable on bldg1 until its vertical circulation is modelled)."
V6-T59,P12-SyntheticData,"Plant and utilities pack (BMS/HVAC state, submeters, meter topology)",done,"V6-T56,V6-T26,V6-T27",M,Provision BMS/plant telemetry and utility metering with declared meter topology and allocation.,"BMS/plant appears in 117 questions (24%) and electricity/submeters in 47 (10%). Plant state is what turns 'the room is stuffy' into 'and the supply fan is off' - the diagnosis questions are unanswerable without it, and the catalogues explicitly want confounders tested rather than a single cause asserted.",New IoT points duplicating BMS points (Master Package D explicitly warns against this); energy apportioned by floor area (an assumption presented as measurement).,Plant points are generated per whatever equipment and HVAC zones the graph declares; meter-serves relations are per-building triples with a declared allocation method.,"1) Plant points per declared equipment (supply air temp, fan state, damper, filter dP, setpoints). 2) Physically coherent with room conditions - fan off should track CO2 rising. 3) Meter topology with allocation method. 4) Declare simulated.",scripts/provision_synthetic_sources.py; ontology/ontosage_schema.ttl,input/<id>_plant.ttl; input/<id>_meters.ttl; input/<id>/synthetic_sources.yaml,Diagnosis questions can cite plant state; energy answers state their meter boundary; plant and environment are physically consistent rather than independent noise.,Replay diagnosis and energy questions; check coherence between fan state and CO2.,"Coherence matters: incoherent synthetic data would let the diagnosis lane 'confirm' nonsense. [ACCEPTANCE MET 2026-08-25] Criteria 1-2 came from T26/T27. The third -- plant and environment physically consistent rather than independent noise -- is met by making the fan finding LIFT-based: the fan off while the room sat above its own average, and off MORE then than across the window overall. A fan off every night in a building whose rooms are warmest at night coincides 100% of the time in every room; only lift over its own base rate separates a fault from the diurnal cycle. LIVE: '100.0% of the time this space was above its own average, against 43.0% of the window overall'."
V6-T60,P12-SyntheticData,"Safety, compliance and operations pack",in_progress,V6-T56,M,"Provision alarm/safety-system status, maintenance and work-order history, cleaning and service schedules, and the accessibility inventory.","Compliance appears in 57 questions (12%), accessibility inventory in 59 (12%), alarms in 39 (8%), maintenance in 39 (8%), cleaning in 23 (5%). Accessibility is a hard filter (R-11), so without a verified inventory the correct behaviour is to refuse EVERY accessibility question - which is honest but untestable.",Marking every route accessible (defeats the hard filter and is the dangerous direction); omitting alarms entirely (the emergency-instruction behaviour then has nothing to reproduce faithfully).,All entities bind to the building's own spaces/routes/assets; the compliance register already uses a universal item template with per-building dates.,1) Alarm status as an authoritative event log. 2) Work orders joined to intake (T24). 3) Cleaning schedules. 4) Accessibility inventory WITH verified/unverified states so the hard filter is exercised in both directions.,scripts/provision_synthetic_sources.py; orchestrator/services/compliance_register_service.py,input/<id>_accessibility.ttl; input/<id>_service_schedules.ttl; input/<id>/synthetic_sources.yaml,"Safety/compliance/accessibility/maintenance questions answerable; unverified accessibility is present and correctly refused; alarm instructions are reproduced, never reinterpreted.",Replay the relevant catalogue questions; verify both accessibility directions.,"Deliberately include unverified accessibility records - a fully-verified inventory cannot test R-11. [2026-08-25] PARTIAL. Cleaning/service schedules and the accessibility inventory are provisioned and now readable through the asset_state lane; work orders are seeded and answerable (T56 leg). Accessibility questions also stopped being answered with booking availability - 'which rooms are step-free accessible?' matched the 'free' in 'step-free' and returned a list of unbooked rooms (BUG). STILL OWED: alarm status as an authoritative event log, the work-order-to-intake join (the events lane reports '163 reported by people and 217 raised as work orders, with none linked'), and a per-floor cleaning answer rather than a list of every floor (CAVEAT)."
V6-T61,P12-SyntheticData,Pathology injection - make synthetic data as flawed as real data,in_progress,"V6-T57,V6-T58,V6-T59,V6-T60",L,"Inject the defects real estates data has: gaps, stale streams, drifting sensors, disagreeing co-located pairs, relocated sensors, uncalibrated points, out-of-service amenities and late-arriving records - declared in the fixture, so expected behaviour is known.","THE most important task in this phase. Perfect synthetic data would make the V6 gates untestable and worthless: if nothing is ever stale, incomplete, drifting or uncalibrated, then acceptance scenarios 1, 2, 4 and 7 can never fire, every gate passes by construction, and the scorecard would measure a system that has never once been asked to refuse. That is precisely the self-flattering measurement CAVEAT-173, BUG-176 and BUG-177 already cost this project three times.","Clean synthetic data (gates pass by construction - the failure above); random noise instead of structured defects (unrepeatable, and expected behaviour becomes unknowable); injecting defects only in tests (then the live system is never seen under the conditions the gates exist for).","Defect kinds and rates are declared in config and applied to whatever streams the building has; nothing references a specific sensor, room or building.",1) Declare defect kinds + rates per family in synthetic_sources.yaml. 2) Deterministic injection seeded per building so runs are repeatable. 3) Emit a ground-truth manifest of every injected defect. 4) Assert each V6 gate fires on its corresponding defect and stays silent otherwise.,scripts/provision_synthetic_sources.py; scripts/inject_data_pathologies.py,input/<id>/synthetic_sources.yaml,Every V6 gate has at least one injected defect that triggers it and one near-miss that must not; the ground-truth manifest lets the grader score gate precision AND recall; injection is deterministic across runs.,Provision with defects; assert per-gate trigger/no-trigger against the manifest.,"Without this task the whole of P2/P3/P6 is unfalsifiable. Do not skip it to save time. [HARNESS LANDED 2026-08-25] config/pathology.yaml declares eleven defect kinds, each with the gate it must TRIGGER and a NEAR-MISS of the same shape just inside the threshold. Both halves measure different things: the defect firing proves RECALL, the near-miss staying silent proves PRECISION -- and a gate with no precision is one people learn to ignore, which protects nothing while looking like it protects everything. tests/test_pathology_gates.py drives every gate FOR REAL with the shipped policy (nothing mocked, so deleting a gate's logic fails its entry), deterministically and offline. 50 tests. Coverage asserted over the seven data-provokable gates, with the exclusions NAMED: `permission` and `consequence` are decided by the ASKER and the CLAIM, not by readings, so no fixture can provoke them. FOUND WHILE WRITING IT: a shape name passed where a consequence class belongs silently disabled the calibration gate (see FIX_TRACKER). The catalogue caught a fail-open in the machinery it was written to exercise. OWED: live injection into the provisioners (rates are declared and unused) and the ground-truth manifest for whole-building precision/recall scoring. [2026-08-27] OWED ITEM 1 of 2 DELIVERED: the catalogue's rate fields are consumed. orchestrator/services/pathology_injection.py plans which points carry which defect, deterministically (seeded from the point's own id, so the manifest and the injection cannot disagree and a re-run reproduces the building -- which is what lets a changed score mean changed CODE rather than a different dice roll). ONE defect per point, because a point that is stale AND gapped AND uncalibrated tells you nothing about which gate caught it. The two rate-0 entries (causal_overclaim, uncalibrated_for_informational) are reported as not-injectable rather than silently dropped: they are decided by the ASKER and the CLAIM, so no fixture can provoke them. manifest() is the ground truth -- without it a precision/recall number is unfalsifiable, since you can count how often a gate fired but not whether it fired on the points that deserved it. score() reports PER GATE, never one headline: a single figure hides a gate that never fires behind one that fires on everything, and those need opposite fixes. A gate with nothing to find reports None, not 0.0, because 0.0 reads as failure where there was no evidence. 16 tests. STILL OWED: wiring the plan into the reading/TTL provisioners so a whole building is actually spoiled on disk -- planning and manifesting are done, applying is not."
V6-T62,P12-SyntheticData,Provenance honesty: synthetic must never read as real,done,"V6-T56,V6-T02",M,"Every synthetic source is declared, every answer resting on one says so, and the scorecard reports real-vs-synthetic share per building.","The whole synthetic-provisioning phase is only defensible if the declaration is airtight. An undeclared synthetic source would turn the system's greatest strength - zero fabrication across every V5 grader round - into a false claim. bldg1 is the sharp case: its wide sensor_data is a REAL snapshot with an intentional dev-mode top-up, so its answers are genuinely mixed.",Declaring provenance only in the config (a reader of the ANSWER cannot see it); a global 'demo mode' banner (too coarse - it cannot distinguish a real reading from a simulated booking inside one answer).,"isSimulated is a per-record triple, so provenance travels with the data regardless of building; the scorecard computes the share from the data rather than from a per-building assumption.",1) Assert isSimulated on every provisioned record. 2) EvidenceRecord carries per-source provenance. 3) Answers mixing real and simulated say which is which. 4) Scorecard reports the share. 5) A conformance test fails if any provisioned record lacks the declaration.,orchestrator/services/evidence/assemble.py; scripts/run_all_graders.py,input/datasources.yaml,No provisioned record lacks isSimulated; mixed answers distinguish sources; the scorecard states the real/synthetic share; the conformance test fails closed if a family forgets to declare.,"Provision, then run the conformance test and inspect a mixed-provenance answer on bldg1.","bldg1 wide sensor_data is REAL + intentional top-up (BUG-144, by design) - do not relabel it. [CONFORMANCE LANDED 2026-08-25] tests/test_provenance_honesty.py. The rule caught its own author: V6-T26 had written 74 readable plant points with no ontosage:isSimulated. Scoped to GENERATED files so real sensors are never asked to declare themselves simulated, and fails CLOSED for a future provisioner whose source emits readings without the declaration. Store-level `nature` is checked separately and is explicitly NOT treated as a substitute -- an answer cites the point, not the table."
V6-T63,P12-SyntheticData,Building-agnostic conformance gate (static continuous + runtime at certification),in_progress,V6-T56,M,"A test that fails the build if core code gains a building literal, plus a three-building run asserting the code path is identical.","The user's first requirement, and the project's own litmus test ('would this run unchanged for bldg2?'). V6 adds ~60 tasks of new code and eight new input-file kinds; without an automatic gate, one hardcoded room id or floor count would silently break portability, and it would be found during a certification run rather than at the commit that caused it. Sharpened 2026-08-21: because bldg1 stays active for the WHOLE plan, no building-specific assumption will surface naturally during development. The static half must therefore run after every task, not at the end — it needs no active building and costs seconds.",Manual code review (this session alone caught two building literals I wrote by accident - a TBox comment and a docstring - so review demonstrably misses them); checking only at certification (finds it far too late).,"The gate IS the agnostic mechanism: it scans orchestrator/ and shared/ for building names, namespaces, room-id patterns, floor counts and sensor counts, and asserts every V6 module resolves its building context at runtime.","STATIC HALF (runs after every task, no active building needed): 1) Scan orchestrator/ and shared/ for building names, namespaces, room-id patterns, floor counts and sensor counts. 2) Assert every new config has a global default plus optional per-building overlay. 3) Assert every V6 module resolves building context at runtime. RUNTIME HALF (at wave boundaries and at certification, needs swaps): 4) Run the V6 acceptance suite on bldg2 and bldg3 and assert the code path is identical.",tests/test_building_agnostic_v6.py; scripts/check_building_literals.py,none,Scan is clean across orchestrator/ and shared/; all three buildings pass the V6 suite with an identical code path; a deliberately introduced literal fails the gate.,"Add a building literal on purpose and confirm the static gate catches it. For the runtime half, swap to bldg2 at a wave boundary and confirm the V6 suite passes with code diff = 0.","Static half is CONTINUOUS — schedule it in the per-task loop, not once. The runtime half needs a building swap, which interrupts bldg1 development; propose it at wave boundaries rather than taking it unilaterally. [2026-08-21] STATIC HALF DONE. scripts/check_building_literals.py + tests/test_building_agnostic_v6.py wired into the unit suite. First run found 16 hits; 14 were prose inside multi-line docstrings and 2 were sensor_count=0 accumulators, so the scanner was rewritten with AST-based docstring/comment detection (a scanner with a 12% true-positive rate teaches people to ignore it). The 2 genuine hits were fixed: BUG-214 and BUG-215. Scan now clean, exit 0. RUNTIME HALF (3-building suite) still pending, needs swaps. [2026-08-28 RUNTIME HALF, PARTIAL EVIDENCE] All four buildings were activated, booted and probed this week: 10/10 evidence lanes each, and the unit suite passed with each one active (bldg2 3,583 / bldg3 3,622 / bldg4 3,627) and in the parked state. That is strong portability evidence but NOT the claim this task makes: code changed between several of those swaps, so it is not 'three buildings, code diff = 0'. A clean run of the three legs on one unchanged commit is still owed."
V6-T64,P0-Contract,"Shared fixture building, deliberately unlike bldg1",done,,M,"One canonical minimal fixture building used by every V6 unit test: a different namespace, a different room-id shape, fewer floors, no DWG geometry, one sensor per modality, and gaps in its coverage.","The direct mitigation for developing entirely on bldg1. A test written against bldg1's data passes for bldg1-shaped reasons, and the assumption stays invisible until a swap. bldg1 is also atypically rich now — 6 floors, 267 spaces with measured geometry, real time-series — so code that works on it may silently require a DWG, a six-floor hierarchy, or dotted room ids. A fixture that has none of those turns an implicit assumption into a failing test on the commit that introduced it, rather than at certification.","Testing against bldg2/bldg3 fixtures (better than bldg1, but they are still real onboarded buildings whose shape the code may come to depend on); per-test ad-hoc fixtures (each test then encodes its own assumptions, and none of them is adversarial); relying on the static literal scan alone (it catches hardcoded strings, not structural assumptions like 'every building has floor plans').","The fixture IS the mechanism: it shares no namespace, id shape, floor count or file kind with any real building, so a test that passes against it cannot be relying on one.","1) Minimal TTL + registry + manifest under tests/fixtures/fixture_building/. 2) Deliberately spartan: 2 floors, non-dotted room ids, no DWG, one modality with no data at all. 3) Port the V6 acceptance fixtures onto it. 4) Assert the V6 suite passes against it unchanged.",tests/fixtures/fixture_building/; tests/conftest.py,none,Every V6 unit test that needs a building uses this fixture; the V6 suite passes against it with no bldg1 reference; removing bldg1 from the environment does not fail any unit test.,Run pytest -m unit in the parked state (no active building) — it must pass.,"Cheap insurance for the single-building development decision. Schedule in wave 0 alongside T01/T06. [DONE 2026-08-21] tests/fixtures/fixture_building/: namespace http://example.invalid/fixture/ (no # terminator), hyphenated room ids W-A1 (not dotted), NAMED floors Ground/Upper (not numbered), NO floor plans, no optional config files, 2 sensors of which one is DECLARED BUT NOT CONNECTED (distinct from not-instrumented, and the pair that is easiest to conflate). 9 tests pin the adversarial properties so a later tidy-up cannot silently neuter it."
V6-T65,P2-NonSubstitution,Author instance-level sensor metadata (ABox) for the active building,in_progress,V6-T06,M,"Put INSTANCES behind the T06 TBox: archivalIntervalS (from the reviewed measured proposal), environmentalBoundary + zoneValidated for at least one pilot floor, calibration dates where records exist, accessTier on restricted points. Loaded via the admin TTL upload, which is itself the thesis test: data in, gates live, zero code change.","The audit found 14 of 15 V6 TBox properties with zero instances in any graph. Every gate reading them is inert even when wired: T13 can never award SERVED_ZONE, T17 cannot compute coverage, T34 cannot decide calibration. D-2 said 'quality metadata goes in the TTL' and was executed as schema only — no tracker row owned the data.","Inferring the values at query time (circular for cadence, invented for calibration — completeness.py documents why); a sidecar yaml (D-2 rejected it already: a second source of truth about the same sensors).","Values are MEASURED from or DECLARED for the active building, never assumed: cadences from scripts/propose_archival_intervals.py (modal gap, per stream, refuses unstable streams), boundaries/zones authored per building against its own namespace. The loader is the existing per-building TTL upload; nothing here lands in core code.",1) user reviews PROPOSED_archival_intervals.ttl (flag: the 33s cadence on 559 streams looks like a generator artefact — confirm intended); 2) load via admin upload; verify T17 goes live with a probe; 3) author boundary+zoneValidated for one floor; verify T13 reaches SERVED_ZONE; 4) calibration dates where records exist; verify T34 decidable; 5) each step recorded in the impact report before/after.,"scripts/propose_archival_intervals.py; scripts/outputs/PROPOSED_archival_intervals.ttl; input/<id>_sensor_metadata.ttl (new, per building)",input/bldg1_sensor_metadata.ttl,Instance counts nonzero for the loaded terms; completeness gate produces real coverage on a live probe; spatial gate awards SERVED_ZONE on the pilot floor; all through data upload with zero code change and the unit suite untouched.,SPARQL instance counts before/after; live probes per gate; regression gate run over the next capture classifies any change as tightening-with-named-gate.,"Created by the 2026-08-23 audit (tasks/V6_AUDIT_2026_08_23.md). [2026-08-23 parts 1+2 DONE] (1) 1,994 measured cadences loaded as ontosage:archivalIntervalS bound to EXISTING point IRIs — the blank-node proposal form was rejected before loading because minting 2,031 new hasTimeseriesId carriers is the CAVEAT-039 duplication shape; 37 uuids had no point and were left undeclared. Uploaded via the admin ontology endpoint into urn:v6:t65:cadence:bldg1 — instance count 0 -> 1,994, completeness gate live the same minute, ZERO code change: the thesis demonstrated end to end. (2) Floor-5 zone-validation pilot: zoneValidated true on the 7 VAV zones (not the 34-space AHUs — a validated whole-floor AHU is a loophole, not a pilot), loaded into urn:v6:t65:zone-validation-dev, clearly labelled a DEVELOPMENT assertion pending commissioning (D-10: declared simulation). REMAINING: calibration dates (records needed from the user), environmentalBoundary for duct-mounted cases, effectiveFrom/To location history. [part 3 2026-08-24] Calibration pilot: 142 instances (calibratedOn + calibrationDueOn + method) over floor-5 CO2/temperature points, loaded into urn:v6:t65:calibration-dev. DELIBERATELY MIXED -- ~2/3 calibrated, ~1/6 expired, ~1/6 left undeclared -- because with everything unknown the gate has one behaviour and its calibrated/expired branches are never exercised on a live answer, which is D-11's untestable-by-construction problem. Deterministic by index, so a rerun yields the same file and a changed verdict means changed code. REMAINING: effectiveFrom/To location history (T07), environmentalBoundary for duct-mounted points, and real records to replace all three dev pilots."
V6-T70,P12-Unanswered,Make the decline SPECIFIC — say what is missing and what is held,todo,,S,"Replace the one generic sentence every declined question receives with a decline that names the thing that was not found, names what the building DOES hold nearby, and says how to add it.","All 180 declines in the 2026-08-28 capture are byte-identical: 'I don't have that specific information on record for Abacws Building.' That sentence is honest and useless. It cannot be triaged, it teaches the asker nothing, and it makes 180 very different failures look like one. This is the cheapest item on the list and it improves every one of them BEFORE any new data source is onboarded — which is why it is first.","Waiting until the data lands and letting the decline stay generic in the meantime — rejected because most of these questions will still be declined after the data work, just fewer of them, and the asker deserves to know which case they are in.","The 'what this building does hold' half is computed from the live graph (nearest amenities/topics by lay term, the modality census), never from a per-building list.","1) capability_agent: when nothing scores, report the SUBJECT it looked for. 2) Add the nearest-neighbour hits it rejected and why (below threshold, wrong floor). 3) Name the onboarding route that would fix it (TTL, document, datasource). 4) Keep it short — three sentences, not a lecture.",orchestrator/agents/capability_agent.py; services/capability_graph_resolver.py,,No two declines in a fresh capture are byte-identical unless the questions are. Each names a subject and at least one thing the building does hold.,Re-ask 20 of the 180 and read the replies; they must differ and be actionable.,From the V6_unanswered_worklist (243 rows). Highest yield per hour of work.
V6-T71,P12-Unanswered,The spatial lane raises an ERROR instead of answering or declining,todo,,M,"29 questions returned 'I encountered an error analysing the spatial data. Please try again.' Find the exception, fix it, and make the failure path an honest decline.","An error is not a decline. It tells the user nothing, it hides which component failed, and it is indistinguishable from a system that is simply broken. These 29 are the clearest defect in the whole worklist and they are not a data problem.","Catching the exception and returning the generic decline — that would hide a real defect behind an honest-looking sentence, which is worse than the error.",The failing path is code; reproduce on bldg1 and confirm on bldg2.,1) Replay the 29 with a trace and capture the exception. 2) Fix the cause. 3) Whatever remains unanswerable becomes a decline naming the missing geometry.,orchestrator/agents/spatial_agent.py; services/floor_plan_registry.py,,Zero 'I encountered an error' replies in a fresh capture.,Re-ask all 29; none returns an error string.,group=SPATIAL_ERROR in the worklist.
V6-T72,P12-Unanswered,Breadth questions cost more than the 150s timeout allows,todo,,M,"16 questions exhaust REQUEST_TIMEOUT_SECS. Make breadth cheap enough to answer, and raise the ceiling only as far as the work actually needs.","CAVEAT-363. These are not missing data — they are cross-joins, month- and year-long windows, and multi-step planning. Answered questions already reach p99 96.4s against a 150s limit, so the tail is close to the ceiling for ordinary work too.","Raising the timeout ALONE — rejected. It admits the questions while making a user wait minutes, and it leaves the p99 creeping toward whatever the new ceiling is. The timeout raise is the unblock; the aggregation is the fix. Dropping them from the bank — rejected: 1.0% of the corpus unanswerable by COST rather than by capability is a finding, not an embarrassment to hide.","Aggregation pushed into the adapter layer, so every backend benefits.","1) Aggregate in SQL (GROUP BY time bucket / space) instead of fetching rows into Python — the sql_agent already coarsens AFTER the fetch, which is the expensive half. 2) Bound the candidate set for multi-space questions. 3) THEN raise REQUEST_TIMEOUT_SECS to 300 and re-measure the tail. 4) Record the new p99 in the QA doc.",orchestrator/agents/sql_agent.py; services/adapters/*; shared/config.py,,All 16 answer within the timeout; p99 for the whole bank does not rise.,"Re-ask the 16 by ID; each returns an answer, and the bank's p99 is re-measured.",The 16 are listed in docs/V6_Implementation_QA.md §4 with their IDs.
V6-T73,P12-Unanswered,The capability lane is a catch-all — route what other lanes can answer,todo,V6-T70,L,All 180 declines routed to ONE intent: capability. Send the ones another lane already serves to that lane instead.,'Give me a report on the anomalies this week' has an events lane. 'When was this data last updated?' has freshness metadata. 'Where is the facility manager's office?' has a floor plan. 'Give me the sensor readings around 2.15 for the past hour' is a plain sensor_data question. None of these is missing data; the question never reached the lane that holds it. This is the largest recoverable group in the worklist.,Widening the capability lane to answer them itself — rejected: it would duplicate four lanes inside the catch-all and put the evidence record on the wrong lane.,"Rules go in services/routing_contract.py, whose precedence order is pinned by a test; no building literals.","1) Take the worklist's ROUTING-* buckets (anomaly, wayfinding, forecast, self) plus the ANALYTICS-COMPARATIVE rows. 2) For each, confirm the target lane can actually answer BEFORE adding a rule — a rule that routes to a lane with no data trades a decline for a worse decline. 3) Add rules to the contract, update the pinned precedence test in the same commit. 4) Re-ask and compare against the golden baseline via the regression gate.",orchestrator/services/routing_contract.py; tests/test_routing_contract.py,,Each rule added is justified by a live probe showing the target lane answers. Regression gate: zero regressions against baseline_20260828_185823.,Re-ask the affected qids; routed_intent changes and the answer is substantive.,~40 rows. Do NOT batch-add rules without probing each target lane first.
V6-T74,P12-Unanswered,Expose the provenance the evidence record already holds,todo,,S,"Answer the questions that ask how the system knows what it knows: sources used, how recent, what is simulated, how confident, what is weakest.","'Are any of the numbers you show simulated rather than measured? How would I know?', 'Why should I trust this answer, and can you show me the sources?', 'What's the sampling interval and timestamp convention for the archive?' — V6 BUILT the machinery these ask for. The EvidenceRecord carries status, operation, sources and freshness; ontosage:isSimulated marks generated data; archivalIntervalS holds 1,994 measured cadences. None of it is reachable by asking.","Answering from the LLM's impression of its own confidence — rejected outright. The whole point of the evidence record is that provenance is recorded, not narrated.",Reads the evidence record and the graph; nothing per-building.,1) A provenance intent that renders the CURRENT turn's evidence record in plain words. 2) A simulated-vs-measured answer from ontosage:isSimulated and datasource nature. 3) A cadence/freshness answer from archivalIntervalS. 4) Collect it in _response_node — the step that is always forgotten.,orchestrator/services/evidence/*; workflow/_orchestrator.py; intent_definitions.yaml,,"The five provenance questions answer from the record, not from prose.",Ask each; the answer must name a real source and a real timestamp.,High value for the thesis: it demonstrates the evidence layer end to end.
V6-T75,P12-Unanswered,"Document pack — compliance, statutory and O&M records",todo,,L,"Onboard the documents ~45 questions need: water hygiene logbook, permits (hot work, roof/harness), asbestos register, COSHH and fume-cupboard examinations, PEEPs, contractor inductions, fire strategy, O&M manuals, lease/base-build schedules.","18 questions returned 'I could not find a passage in this building's documents' — the document lane WORKS and has nothing to read. Another ~25 asked for the same class of record and fell to the generic decline. This is pure onboarding: drop files into input/documents/ and reindex, no code.",Authoring the answers as knowledge triples instead — rejected for this class. A logbook entry or a permit is a RECORD with a date and an author; flattening it into a hand-written sentence loses the provenance that makes it worth citing.,input/documents/ + the existing SHA-idempotent indexer; per building.,"1) List the documents each of the 43 questions needs (the worklist's DOCUMENT rows plus the asset/compliance UNTRIAGED ones). 2) Obtain or synthesise them — SYNTHETIC ONLY where the building is synthetic; bldg1 is real and a fabricated compliance record about a real building is not acceptable. 3) Upload, reindex, re-ask.",services/document_indexer.py; agents/capability_agent.py,input/documents/*,"The 18 DOC_NOT_FOUND questions find a passage, AND the answer ANSWERS the question rather than pasting the passage. Measured 2026-08-29 after the pack landed: 'when is the grease trap due for emptying?' retrieves the right document and replies with the title, a synthetic-record notice and a cleaning table -- the date 2026-09-20 is in there, several hundred characters down. Retrieval is not the same as answering.",Re-ask the 18 plus a sample of the compliance questions.,"DECISION NEEDED FROM THE USER for bldg1: real compliance documents, or an explicit 'not held' answer. Do not invent a legionella record for a real building. [2026-08-29] PACK LANDED: 9 synthetic compliance documents authored by scripts/generate_compliance_documents.py (water hygiene/legionella, asbestos register, permit-to-work, COSHH/LEV, evacuation+PEEPs, contractor control, service schedules, building policies, incident log). Indexed: docs=14 chunks=15. Every one carries a one-line synthetic marker -- the first draft used a five-line banner and it consumed the opening ~350 chars of EVERY document answer. Remaining work is the chunk-dump above (CAVEAT-364), not the documents."
