room,start,end,module
Room5.52,2026-08-21T09:00:00,2026-08-21T11:00:00,Applied Machine Learning
Room5.52,2026-08-20T09:00:00,2026-08-20T11:00:00,Advanced Data Analysis
Room5.52,2026-08-17T11:00:00,2026-08-17T12:00:00,Introduction to Computer Science
Room5.52,2026-08-28T09:00:00,2026-08-28T11:00:00,Applied Machine Learning
Room5.52,2026-08-27T09:00:00,2026-08-27T11:00:00,Advanced Data Analysis
Room5.52,2026-08-24T11:00:00,2026-08-24T12:00:00,Introduction to Computer Science
Room5.52,2026-09-03T09:00:00,2026-09-03T11:00:00,Advanced Data Analysis
Room5.52,2026-08-31T11:00:00,2026-08-31T12:00:00,Introduction to Computer Science
Room5.52,2026-09-11T09:00:00,2026-09-11T11:00:00,Applied Machine Learning
Room5.52,2026-09-10T09:00:00,2026-09-10T11:00:00,Advanced Data Analysis
Room5.52,2026-09-07T11:00:00,2026-09-07T12:00:00,Introduction to Computer Science
Room5.52,2026-09-18T09:00:00,2026-09-18T11:00:00,Applied Machine Learning
Room5.52,2026-09-17T09:00:00,2026-09-17T11:00:00,Advanced Data Analysis
Room5.52,2026-09-14T11:00:00,2026-09-14T12:00:00,Introduction to Computer Science
Room5.53,2026-07-30T16:00:00,2026-07-30T18:00:00,Applied Cyber Security
Room5.53,2026-08-20T16:00:00,2026-08-20T18:00:00,Applied Cyber Security
Room5.53,2026-08-27T16:00:00,2026-08-27T18:00:00,Applied Cyber Security
Room5.53,2026-09-03T16:00:00,2026-09-03T18:00:00,Applied Cyber Security
Room5.53,2026-09-10T16:00:00,2026-09-10T18:00:00,Applied Cyber Security
Room5.53,2026-09-17T16:00:00,2026-09-17T18:00:00,Applied Cyber Security
Room5.61,2026-07-27T14:00:00,2026-07-27T15:00:00,Advanced Computer Science
Room5.61,2026-07-27T09:00:00,2026-07-27T10:00:00,Research Methods in Data Analysis
Room5.61,2026-08-05T10:00:00,2026-08-05T11:00:00,Introduction to Computer Science
Room5.61,2026-08-10T14:00:00,2026-08-10T15:00:00,Advanced Computer Science
Room5.61,2026-08-10T09:00:00,2026-08-10T10:00:00,Research Methods in Data Analysis
Room5.61,2026-08-12T10:00:00,2026-08-12T11:00:00,Introduction to Computer Science
Room5.61,2026-08-17T14:00:00,2026-08-17T15:00:00,Advanced Computer Science
Room5.61,2026-08-17T09:00:00,2026-08-17T10:00:00,Research Methods in Data Analysis
Room5.61,2026-08-19T10:00:00,2026-08-19T11:00:00,Introduction to Computer Science
Room5.61,2026-08-24T14:00:00,2026-08-24T15:00:00,Advanced Computer Science
Room5.61,2026-08-24T09:00:00,2026-08-24T10:00:00,Research Methods in Data Analysis
Room5.61,2026-08-26T10:00:00,2026-08-26T11:00:00,Introduction to Computer Science
Room5.61,2026-08-31T14:00:00,2026-08-31T15:00:00,Advanced Computer Science
Room5.61,2026-08-31T09:00:00,2026-08-31T10:00:00,Research Methods in Data Analysis
Room5.61,2026-09-07T14:00:00,2026-09-07T15:00:00,Advanced Computer Science
Room5.61,2026-09-07T09:00:00,2026-09-07T10:00:00,Research Methods in Data Analysis
Room5.61,2026-09-09T10:00:00,2026-09-09T11:00:00,Introduction to Computer Science
Room5.61,2026-09-14T14:00:00,2026-09-14T15:00:00,Advanced Computer Science
Room5.61,2026-09-14T09:00:00,2026-09-14T10:00:00,Research Methods in Data Analysis
Room5.61,2026-09-16T10:00:00,2026-09-16T11:00:00,Introduction to Computer Science
