ID,Stakeholder_Role,Question,source_systems,n_systems,Complexity_L,Readiness_R
FS-010,Fire-safety personnel,"Which approved changes since the accepted baseline require a compartment, protected-route or fire-safety asset check before the changed area is relied upon?",cmms_work|fire_life_safety|permit_control|project_handover|sensor_telemetry|space_inventory,6,,
FS-011,Fire-safety personnel,"What alarm, fault, disablement, power and communications state is currently evidenced at each fire-alarm panel, repeater and monitored zone?",cmms_work|fire_life_safety|it_network|permit_control|space_inventory,5,,
FS-012,Fire-safety personnel,"Which detectors, call points, loops or network segments need competent follow-up because faults, isolations, lost communication or abnormal diagnostics affect coverage?",fire_life_safety|it_network|permit_control|sensor_telemetry|space_inventory,5,,
FS-013,Fire-safety personnel,"Which detectors need attended siting or contamination checks because temporary works, dust, heat, airflow or partitions have changed their surroundings?",fire_life_safety|permit_control|sensor_telemetry|space_inventory,4,,
FS-014,Fire-safety personnel,"Which sounder, voice-alarm or visual-alarm areas lack current evidence of circuit health and effective sampled notification?",fire_life_safety|meter_energy|space_inventory|statutory_compliance,4,,
FS-015,Fire-safety personnel,"Which sprinkler or water-suppression supplies, valves, pumps, tanks or monitored pressures show an exception requiring specialist confirmation?",access_control|contract_warranty|fire_life_safety|it_network|sensor_telemetry|space_inventory,6,,
FS-016,Fire-safety personnel,"Which specialist suppression system or protected enclosure lacks current evidence of authorised availability, agent condition, release readiness or enclosure integrity?",fire_life_safety|sensor_telemetry|space_inventory,3,,
FS-017,Fire-safety personnel,"Which smoke-control fans, dampers, vents or automatic opening vents lack a complete, witnessed response sequence for the scenario being tested?",access_control|bms_plant|fire_life_safety|it_network|sensor_telemetry|space_inventory|user_reports,7,,
FS-018,Fire-safety personnel,"Which fire-alarm interfaces to lifts, access control, ventilation, plant or door releases lacked destination-system confirmation in the latest authorised test?",access_control|fire_life_safety|it_network|space_inventory|user_reports,5,,
FS-019,Fire-safety personnel,"Is the remote alarm-signalling path available now, and when was alarm receipt last demonstrated end to end?",contract_warranty|fire_life_safety|it_network|space_inventory,4,,
FS-020,Fire-safety personnel,"For the briefing being prepared, which alarm, detection and suppression statements are supported, qualified or unavailable, and why?",fire_life_safety|permit_control|sensor_telemetry|space_inventory,4,,
FS-021,Fire-safety personnel,"Which final exits or protected-route segments need an immediate local check because they may be closed, locked, obstructed or otherwise unavailable?",fire_life_safety|sensor_telemetry|space_inventory|user_reports,4,,
FS-022,Fire-safety personnel,"For each occupied evacuation zone, which approved egress options have current end-to-end evidence and which still need a physical route confirmation?",fire_life_safety|project_handover|sensor_telemetry|space_inventory,4,,
FS-023,Fire-safety personnel,"Which refuge communication points need action because power, line supervision, call, acknowledgement, location or intelligibility evidence is missing?",access_control|fire_life_safety|it_network|policy_governance|sensor_telemetry|space_inventory,6,,
FS-024,Fire-safety personnel,Which final-exit discharge areas or external onward paths need a local clearance or access check before the next occupied period?,fire_life_safety|permit_control|project_handover|sensor_telemetry|space_inventory|weather_external,6,,
FS-025,Fire-safety personnel,"Which emergency-lighting circuits, luminaires or route areas lack current functional, duration or physical-condition evidence?",access_control|fire_life_safety|meter_energy|sensor_telemetry|space_inventory,5,,
FS-026,Fire-safety personnel,"Which escape-route doors need an attended test of panic hardware, emergency release, opening effort or final openability?",fire_life_safety|sensor_telemetry|space_inventory|user_reports|weather_external,5,,
FS-027,Fire-safety personnel,"Which dependencies of any designated evacuation lift are unavailable, impaired or not demonstrated by current integrated testing?",access_control|contract_warranty|fire_life_safety|policy_governance|sensor_telemetry|space_inventory,6,,
FS-028,Fire-safety personnel,"Does any assembly point or approach path need an authorised change because works, weather, access constraints or planned occupancy undermine the current arrangement?",accessibility|fire_life_safety|permit_control|sensor_telemetry|space_inventory|weather_external,6,,
FS-029,Fire-safety personnel,"For the next event or closure, where could evacuation demand depend too heavily on one route, create counterflow or exceed the movement evidence available?",accessibility|booking|fire_life_safety|project_handover|space_inventory,5,,
FS-030,Fire-safety personnel,"Which temporary route, exit, refuge or assembly-point changes have not yet been reflected consistently in the approved plan, signs, briefings and operational systems?",fire_life_safety|permit_control|space_inventory|training_competency,4,,
FS-031,Fire-safety personnel,"For each evacuation zone, what aggregate occupancy range is supportable now, and where is the evidence too weak for staffing, drill or event planning?",booking|fire_life_safety|it_network|permit_control|project_handover|sensor_telemetry|space_inventory|timetable,8,,
FS-032,Fire-safety personnel,Which occupied spaces may exceed the current owner-approved planning value and therefore need a local count or authorised operational action?,booking|fire_life_safety|permit_control|project_handover|security_incident|sensor_telemetry|space_inventory|timetable,8,,
FS-033,Fire-safety personnel,"What visitor and contractor totals are currently recorded by zone, and which hosts, permits or check-out records leave accountability incomplete?",contract_warranty|fire_life_safety|permit_control|project_handover|space_inventory,5,,
FS-034,Fire-safety personnel,"Where are teaching, events, meetings, deliveries or shift changes likely to create material movement peaks during the next two hours?",booking|fire_life_safety|project_handover|sensor_telemetry|space_inventory|timetable|weather_external,7,,
FS-035,Fire-safety personnel,"What privacy-preserving aggregate evacuation-assistance demand has been authorised for today, and are approved resources and roles aligned?",accessibility|fire_life_safety|sensor_telemetry|space_inventory,4,,
FS-036,Fire-safety personnel,"Which approved evacuation chairs or other assistance devices need attention because presence, access, service status or trained-role coverage is not demonstrated?",cmms_work|fire_life_safety|policy_governance|sensor_telemetry|space_inventory|training_competency,6,,
FS-037,Fire-safety personnel,"Which zones depend on visual, voice, tactile or other inclusive alarm modes, and where is current technical or sampled-test evidence incomplete?",fire_life_safety|meter_energy|sensor_telemetry|space_inventory,4,,
FS-038,Fire-safety personnel,"Where could aggregate refuge demand exceed the evidenced communication, space, trained-role or evacuation-lift provision?",accessibility|fire_life_safety|sensor_telemetry|space_inventory|training_competency,5,,
FS-039,Fire-safety personnel,"What aggregate out-of-hours occupancy is evidenced, and where do lone-worker, visitor or contractor accountability arrangements have unresolved gaps?",booking|contract_warranty|fire_life_safety|permit_control|policy_governance|security_incident|space_inventory,7,,
FS-040,Fire-safety personnel,"Can today's occupancy and inclusive-evacuation briefing be supported, or which exact input needs owner-led confirmation before it is used?",fire_life_safety|permit_control|space_inventory,3,,
FS-041,Fire-safety personnel,Which occupied zones lack confirmed fire-warden or marshal coverage for the current operating period?,fire_life_safety|hr_identity|sensor_telemetry|space_inventory|training_competency,5,,
FS-042,Fire-safety personnel,"Where does the current warden arrangement depend on a single person, communication path, device, route or other fragile point?",fire_life_safety|sensor_telemetry|space_inventory|training_competency,4,,
FS-043,Fire-safety personnel,"Which current fire-safety duties are assigned to people whose training, competence, induction or local briefing evidence is missing or out of date?",access_control|contract_warranty|fire_life_safety|space_inventory|statutory_compliance|training_competency,6,,
FS-044,Fire-safety personnel,"Which zones, operating periods, populations or critical procedures were not meaningfully exercised by the latest relevant fire drill?",fire_life_safety|it_network|policy_governance|project_handover|sensor_telemetry|space_inventory|weather_external,7,,
FS-045,Fire-safety personnel,"What evidenced intervals were observed from alarm initiation through movement, final-exit flow and assembly stabilisation in the latest drill?",fire_life_safety|it_network|policy_governance|space_inventory,4,,
FS-046,Fire-safety personnel,"Which specific doors, junctions or route segments showed repeatable congestion, counterflow, hesitation or delayed release during the latest drill?",accessibility|fire_life_safety|it_network|project_handover|security_incident|sensor_telemetry|space_inventory,7,,
FS-047,Fire-safety personnel,Which alarm zones or message modes lack separate evidence of technical delivery and participant understanding under the tested conditions?,fire_life_safety|it_network|meter_energy|sensor_telemetry|space_inventory|survey_condition|user_reports,7,,
FS-048,Fire-safety personnel,"Which refuge, assisted-evacuation, evacuation-lift or inclusive communication procedures still lack a meaningful exercise?",accessibility|fire_life_safety|it_network|policy_governance|space_inventory,5,,
FS-049,Fire-safety personnel,"Which actions from drills, tests or briefings are overdue, blocked or still unsupported by competent completion evidence?",cmms_work|contract_warranty|fire_life_safety|policy_governance|sensor_telemetry|space_inventory|survey_condition,7,,
FS-050,Fire-safety personnel,"Which emergency contacts, radios, public-address or approved message routes are unavailable, untested or dependent on a single point of failure?",contract_warranty|fire_life_safety|hr_identity|it_network|space_inventory,5,,
FS-051,Fire-safety personnel,"Which fire-safety inspections, tests and maintenance tasks fall due within 7, 30 or 90 days, and which are already overdue?",cmms_work|fire_life_safety|policy_governance|sensor_telemetry|space_inventory|statutory_compliance|survey_condition,7,,
FS-052,Fire-safety personnel,"Which fire-door findings remain open, and which claimed close-outs still lack door-specific competent acceptance?",cmms_work|finance_cost|fire_life_safety|sensor_telemetry|space_inventory,5,,
FS-053,Fire-safety personnel,"What did the latest alarm test actually cover across panels, zones, call points, notification circuits and interfaces, and what was not demonstrated?",asset_register|fire_life_safety|it_network|space_inventory,4,,
FS-054,Fire-safety personnel,"Which emergency-lighting functional or duration tests are overdue, failed, incomplete or still missing physical confirmation?",access_control|cmms_work|fire_life_safety|space_inventory|statutory_compliance,5,,
FS-055,Fire-safety personnel,"Which portable firefighting, sprinkler, riser or specialist suppression assets need service, retest or evidence close-out?",finance_cost|fire_life_safety|sensor_telemetry|space_inventory|statutory_compliance,5,,
FS-056,Fire-safety personnel,"Which dampers, smoke-control systems, refuge communications, evacuation lifts or fire-service facilities lack current specialist evidence?",access_control|asset_register|contract_warranty|fire_life_safety|sensor_telemetry|space_inventory|statutory_compliance,7,,
FS-057,Fire-safety personnel,"Which fire-safety records are unsigned, time-ambiguous, untraceable or linked to the wrong asset, location or competent source?",fire_life_safety|space_inventory,2,,
FS-058,Fire-safety personnel,"Which asset identifiers, locations, controlled drawings or controller configurations conflict and could misdirect testing or maintenance?",access_control|asset_register|fire_life_safety|project_handover|space_inventory,5,,
FS-059,Fire-safety personnel,"Which recurring alarms, faults, door defects or maintenance findings justify a competent diagnostic investigation?",cmms_work|fire_life_safety|permit_control|space_inventory,4,,
FS-060,Fire-safety personnel,Can a claim-specific evidence pack be assembled for the Responsible Person or competent assessor without overstating what the records demonstrate?,fire_life_safety|permit_control|policy_governance|sensor_telemetry|space_inventory,5,,
FS-061,Fire-safety personnel,"Which fire-safety impairments are active now, what systems or areas do they affect, who owns each one and when does the authorised period expire?",fire_life_safety|permit_control|sensor_telemetry|space_inventory,4,,
FS-062,Fire-safety personnel,"For each active impairment, which authorised temporary controls lack current evidence of placement, operation, coverage or handover?",fire_life_safety|project_handover|security_incident|sensor_telemetry|space_inventory,5,,
FS-063,Fire-safety personnel,"Which active or imminent hot-work permits overlap detection, suppression, escape routes, combustibles or other fire-safety dependencies?",cleaning_waste|fire_life_safety|permit_control|sensor_telemetry|space_inventory,5,,
FS-064,Fire-safety personnel,"Which temporary detectors, alarms, patrols or fire-watch arrangements lack current placement, heartbeat, test or handover evidence?",access_control|fire_life_safety|project_handover|security_incident|sensor_telemetry|space_inventory,6,,
FS-065,Fire-safety personnel,"Which live work interfaces need competent inspection because compartment boundaries, fire doors, protected routes or asset access could be compromised?",contract_warranty|fire_life_safety|permit_control|project_handover|sensor_telemetry|space_inventory,6,,
FS-066,Fire-safety personnel,"How have temporary partitions, hoardings, scaffolds, displays or furniture changed routes, detector context, signs or emergency-lighting coverage?",fire_life_safety|sensor_telemetry|space_inventory,3,,
FS-067,Fire-safety personnel,"Where do combustible materials, waste, gas cylinders or charging equipment require a housekeeping or control check now?",cleaning_waste|fire_life_safety|permit_control|sensor_telemetry|space_inventory,5,,
FS-068,Fire-safety personnel,"Which changes in use, occupancy, equipment, work activity or stored material require competent fire-safety reassessment before operation?",fire_life_safety|it_network|permit_control|sensor_telemetry|space_inventory,5,,
FS-069,Fire-safety personnel,What evidence remains missing before the authorised owner may consider restoring an impaired system or returning an affected area to normal use?,fire_life_safety|sensor_telemetry|space_inventory,3,,
FS-070,Fire-safety personnel,"Which conflicts among impairments, permits, bookings, closures, events and isolations need coordination during the next 72 hours?",booking|fire_life_safety|permit_control|sensor_telemetry|space_inventory,5,,
FS-071,Fire-safety personnel,"What incident identifier, command status and authoritative information source are confirmed for this event?",fire_life_safety|security_incident|space_inventory,3,,
FS-072,Fire-safety personnel,"After command authorisation, what is the best-supported sequence from the first relevant detection or call-point signal through alarm transmission and recorded system responses?",fire_life_safety|it_network|space_inventory,3,,
FS-073,Fire-safety personnel,"Which doors, lifts, ventilation, smoke-control, suppression, access or power systems changed state during the event, and which physical outcomes remain unproved?",access_control|fire_life_safety|it_network|space_inventory|user_reports,5,,
FS-074,Fire-safety personnel,"What aggregate occupancy, visitor and contractor information can be shared with authorised command, with its time, coverage and uncertainty explicit?",contract_warranty|fire_life_safety|permit_control|project_handover|sensor_telemetry|space_inventory,6,,
FS-075,Fire-safety personnel,"Which fire-service access routes, standing areas, gates, information boxes, hydrants or riser inlets require immediate physical confirmation?",asset_register|fire_life_safety|it_network|security_incident|sensor_telemetry|space_inventory|statutory_compliance|weather_external,8,,
FS-076,Fire-safety personnel,"Which current hazards, isolations, hazardous materials, structural changes or system impairments must be passed to the fire service through the authorised liaison?",fire_life_safety|permit_control|policy_governance|sensor_telemetry|space_inventory,5,,
FS-077,Fire-safety personnel,"Which approved incident messages were sent, by which channel and at what time, and what delivery or acknowledgement evidence exists?",fire_life_safety|project_handover|space_inventory,3,,
FS-078,Fire-safety personnel,"Which digital and physical records must be preserved for this event, and are provenance, access, integrity, custody and retention controls in place?",booking|cmms_work|fire_life_safety|permit_control|policy_governance|security_incident|space_inventory,7,,
FS-079,Fire-safety personnel,"Which systems, routes or areas remain restricted, and what competent evidence is still required before the authorised owner considers handback?",fire_life_safety|sensor_telemetry|space_inventory,3,,
FS-080,Fire-safety personnel,Which evidence-supported follow-up actions arise from the event without assigning blame or claiming a cause that has not been established?,booking|fire_life_safety|policy_governance|sensor_telemetry|space_inventory,5,,
HS-001,Health and safety officers,"Which current corporate policy, local arrangement and risk-assessment set governs the proposed activity in this exact space and time window?",policy_governance|sensor_telemetry,2,,
HS-002,Health and safety officers,"Who is accountable for each high-priority risk during the decision window, and is a formally authorised deputy available if that owner cannot act?",asset_register|hr_identity|sensor_telemetry,3,,
HS-003,Health and safety officers,"Which risk assessments require competent review now because a material change, incident, complaint, inspection finding or verified control failure has occurred?",booking|cmms_work|sensor_telemetry,3,,
HS-004,Health and safety officers,"Which risk-register entries no longer match the current room use, equipment, occupancy assumptions, access arrangements or building services on which their controls depend?",booking|sensor_telemetry|timetable,3,,
HS-005,Health and safety officers,"Which recorded risk controls depend on a safety-critical asset or service that is unavailable, impaired, in test or not currently verified?",bms_plant|cmms_work|fire_life_safety|sensor_telemetry|statutory_compliance,5,,
HS-006,Health and safety officers,"Where is ownership of safety decisions unresolved at interfaces between the university, building owner, service teams, event organisers and contractors?",booking|contract_warranty|policy_governance|sensor_telemetry,4,,
HS-007,Health and safety officers,"What safety evidence is still missing before the proposed change can be presented to the responsible owner for a start, approval or commissioning decision?",sensor_telemetry,1,,
HS-008,Health and safety officers,"Which risk-reduction actions are overdue, blocked, ownerless, duplicated or recorded complete without the verification required by the risk owner?",cmms_work|finance_cost|sensor_telemetry|statutory_compliance,4,,
HS-009,Health and safety officers,"Do current operational plans include the authorised accessibility and individual-adjustment dependencies needed for the activity, without exposing personal or medical information?",accessibility|fire_life_safety|hr_identity|sensor_telemetry,4,,
HS-010,Health and safety officers,"Which unresolved risks, weakly evidenced controls and time-critical owner decisions require formal escalation at the next safety governance meeting?",policy_governance|sensor_telemetry|training_competency,3,,
HS-011,Health and safety officers,"Which escape routes, final exits, fire doors or refuge approaches need immediate physical inspection because status is obstructed, secured incorrectly, impaired or unknown?",asset_register|fire_life_safety|sensor_telemetry|space_inventory|statutory_compliance,5,,
HS-012,Health and safety officers,"Which reported locations need prompt inspection for slip, trip, collision, falling-object or route-obstruction hazards, and what immediate control is already recorded?",cleaning_waste|sensor_telemetry,2,,
HS-013,Health and safety officers,Which routes or task areas need a competent lighting assessment because failed luminaires or screening measurements may not support safe movement or work?,sensor_telemetry|statutory_compliance,2,,
HS-014,Health and safety officers,"Which occupied work zones need competent investigation because temperature, humidity, carbon-dioxide or ventilation-service evidence is outside the approved screening envelope?",bms_plant|sensor_telemetry|user_reports,3,,
HS-015,Health and safety officers,"Which areas need a competent occupational-noise survey because plant, alarms or temporary work may be producing elevated area sound?",cmms_work|meter_energy|permit_control|sensor_telemetry|survey_condition|user_reports,6,,
HS-016,Health and safety officers,"Which storage, stacking, housekeeping, waste or aisle-clearance conditions require a site check, and which evidence is only a report rather than a verified observation?",cleaning_waste|cmms_work|fire_life_safety|sensor_telemetry,4,,
HS-017,Health and safety officers,"Does a reported leak, water ingress, dampness or condensation issue require urgent slip control, electrical assessment, isolation or building inspection?",cleaning_waste|meter_energy|permit_control|sensor_telemetry,4,,
HS-018,Health and safety officers,"Which guards, covers, interlocks, barriers or emergency stops are reported missing, defeated, damaged or unverified, and what asset must be checked before use?",cmms_work|sensor_telemetry|statutory_compliance,3,,
HS-019,Health and safety officers,"Are local exhaust ventilation, eyewash, safety shower or other emergency protection provisions available for the declared work, and what still requires a pre-use check?",asset_register|project_handover|sensor_telemetry,3,,
HS-020,Health and safety officers,"Which inspection zones should be visited first because checks are overdue, repeatedly adverse, affected by change or unsupported by current traceable evidence?",cmms_work|sensor_telemetry|statutory_compliance,3,,
HS-021,Health and safety officers,Will expected occupancy remain within the current owner-approved room limit and the egress assumptions for the whole activity window?,booking|fire_life_safety|sensor_telemetry,3,,
HS-022,Health and safety officers,"Which restricted, closed or uncommissioned zones have conflicting booking, access, closure or occupancy evidence that requires owner confirmation?",booking|cmms_work|sensor_telemetry,3,,
HS-023,Health and safety officers,"For each approved lone-working session, is the required check-in current and is the authorised welfare-response route available for the whole session?",booking|policy_governance|sensor_telemetry,3,,
HS-024,Health and safety officers,"Where do anonymous flow measurements indicate crowding, long queues or opposing pedestrian movements that merit a route-management check?",fire_life_safety|sensor_telemetry,2,,
HS-025,Health and safety officers,"Which teaching, research, maintenance, cleaning, delivery or event activities overlap in time and place with an unmanaged safety interface?",booking|cleaning_waste|permit_control|sensor_telemetry|timetable,5,,
HS-026,Health and safety officers,"For the declared task, did the measured environmental conditions remain within its approved operating envelope for the full activity window, and where is coverage insufficient?",bms_plant|booking|sensor_telemetry,3,,
HS-027,Health and safety officers,"Have temporary room, furniture, route or access changes invalidated any evacuation-assistance or accessible-egress arrangement?",accessibility|fire_life_safety|sensor_telemetry,3,,
HS-028,Health and safety officers,"Is the declared activity compatible with the room's current authorised safety profile, restrictions, installed controls and supervision requirements?",booking|it_network|permit_control|sensor_telemetry,4,,
HS-029,Health and safety officers,"Which occupied zones coincide with a verified impairment of ventilation, alarm, access release or another required safety-critical service?",booking|fire_life_safety|project_handover|sensor_telemetry,4,,
HS-030,Health and safety officers,What minimum evidence is still missing before the responsible person can make the planned start-or-continue decision?,booking|permit_control|sensor_telemetry,3,,
HS-031,Health and safety officers,"Which newly reported incidents or near misses meet current criteria for immediate human triage, emergency escalation or evidence preservation?",sensor_telemetry,1,,
HS-032,Health and safety officers,"What is the most defensible event timeline from permissioned records and observations, with clock quality and uncertainty shown?",booking|cmms_work|permit_control|sensor_telemetry,4,,
HS-033,Health and safety officers,"Which incidents or near misses show a credible recurring pattern by hazard, asset, zone, activity condition or failed control?",asset_register|booking|cmms_work|sensor_telemetry,4,,
HS-034,Health and safety officers,"Which incident corrective actions are overdue, ownerless, blocked by dependency or recorded complete without the agreed verification?",cmms_work|contract_warranty|finance_cost|sensor_telemetry,4,,
HS-035,Health and safety officers,"After a corrective control is implemented, is there credible case-level evidence that the intended indicator changed without creating an obvious new hazard elsewhere?",cmms_work|sensor_telemetry,2,,
HS-036,Health and safety officers,"Which evidence-supported conditions may have contributed to the event, and which suggested causes remain untested or contradicted?",it_network|permit_control|sensor_telemetry|statutory_compliance,4,,
HS-037,Health and safety officers,"Which permissioned logs, telemetry, photographs or controlled records may be lost under routine retention and need an authorised preservation decision now?",booking|policy_governance|sensor_telemetry,3,,
HS-038,Health and safety officers,"For initial triage, which recorded severity and notification indicators are present, absent or still require competent or legal assessment?",permit_control|sensor_telemetry,2,,
HS-039,Health and safety officers,"Have temporary controls and agreed lessons reached every affected team, shift, contractor and location within the required time?",asset_register|sensor_telemetry|training_competency,3,,
HS-040,Health and safety officers,"Is the evidence sufficient for the accountable owner to consider closing the corrective action, or are inspection, consultation, monitoring or verification still outstanding?",cmms_work|sensor_telemetry,2,,
HS-041,Health and safety officers,"Which contractor teams are expected on site in the decision window, and do their approved locations, supervision, induction and permit times align?",access_control|asset_register|booking|contract_warranty|permit_control|sensor_telemetry|training_competency,7,,
HS-042,Health and safety officers,"Which planned high-risk work conflicts with public access, teaching, research, deliveries, emergency routes or another permit?",booking|permit_control|sensor_telemetry|timetable,4,,
HS-043,Health and safety officers,"Do the current isolation record, permit boundary and independently verified asset state agree for the exact electrical, mechanical, gas or other system?",cmms_work|permit_control|sensor_telemetry|statutory_compliance|training_competency,5,,
HS-044,Health and safety officers,"Does the hot-work plan cover combustible control, alarm impairment, fire watch, handback and post-work monitoring for the full risk window?",contract_warranty|fire_life_safety|permit_control|sensor_telemetry,4,,
HS-045,Health and safety officers,"Are the access equipment, edge protection, anchor arrangements, weather limits and exclusion zone documented and available for the planned work at height?",permit_control|sensor_telemetry|weather_external,3,,
HS-046,Health and safety officers,"Is entry to the named plant room, roof, riser or other restricted area supported by current access, supervision, communication and emergency arrangements?",access_control|permit_control|sensor_telemetry,3,,
HS-047,Health and safety officers,"Does the lifting operation, large delivery or materials move remain within load, route, exclusion, weather and emergency-access constraints?",booking|sensor_telemetry|statutory_compliance,3,,
HS-048,Health and safety officers,"Are hazardous substances, cylinders, batteries or waste covered by current approval, inventory, storage, segregation, ventilation, spill and disposal arrangements?",cleaning_waste|permit_control|sensor_telemetry,3,,
HS-049,Health and safety officers,"Before mobilisation, are contractor induction, task competence, supervision, method statement and permit dependencies current and traceable?",contract_warranty|permit_control|sensor_telemetry|statutory_compliance|training_competency,5,,
HS-050,Health and safety officers,Does the handback evidence support the authorised owner in deciding whether the area or asset may reopen after contractor work?,cmms_work|contract_warranty|permit_control|sensor_telemetry|statutory_compliance,5,,
HS-051,Health and safety officers,"Which safety-critical roles lack current required training for the assigned duty, equipment or operating period?",hr_identity|sensor_telemetry|statutory_compliance|training_competency,4,,
HS-052,Health and safety officers,Are current authorisations and competence records in place for the people assigned to the named equipment or high-risk task?,contract_warranty|permit_control|sensor_telemetry|training_competency,4,,
HS-053,Health and safety officers,"Which roles need a refresher or change-specific briefing because of a revised control, incident lesson, equipment change or long period without practice?",contract_warranty|policy_governance|sensor_telemetry|training_competency,4,,
HS-054,Health and safety officers,"Does every operating period have the owner-approved minimum cover for first aid, fire response, incident coordination and other emergency roles?",booking|sensor_telemetry,2,,
HS-055,Health and safety officers,"Which critical safety communications have not reached all affected teams, contractors or locations, or lack the required acknowledgement?",contract_warranty|sensor_telemetry,2,,
HS-056,Health and safety officers,"Which signs, labels, quick-reference instructions and emergency notices are missing, outdated, illegible, inaccessible or inconsistent with current arrangements?",accessibility|fire_life_safety|policy_governance|sensor_telemetry|statutory_compliance,5,,
HS-057,Health and safety officers,"Does the recorded pre-start briefing cover the actual task hazards, recent changes, interfaces, stop conditions and emergency actions?",asset_register|permit_control|project_handover|sensor_telemetry,4,,
HS-058,Health and safety officers,"Are required formats, languages and accessibility provisions available for the safety communication without collecting or inferring sensitive personal conditions?",accessibility|contract_warranty|sensor_telemetry,3,,
HS-059,Health and safety officers,"Which exercise, incident or inspection findings have not yet been incorporated into training content, scenarios, role cards or local instructions?",sensor_telemetry|training_competency,2,,
HS-060,Health and safety officers,"Where would a training-completion record overstate readiness because practical competence, familiarisation, supervision or observed performance still needs human verification?",sensor_telemetry|training_competency,2,,
HS-061,Health and safety officers,"Which fire detection, alarm, voice notification, emergency lighting and controlled door-release functions are available, impaired, in test or unknown for their intended zones?",fire_life_safety|sensor_telemetry|user_reports,3,,
HS-062,Health and safety officers,"Do current evacuation routes, refuges, assembly points and temporary diversions agree across approved plans, signs, closures and accessibility arrangements?",accessibility|fire_life_safety|sensor_telemetry,3,,
HS-063,Health and safety officers,"Is the approved first-aid cover and equipment provision suitable for the declared occupancy, activities, hazards and operating period?",contract_warranty|sensor_telemetry|training_competency,3,,
HS-064,Health and safety officers,"Are emergency contacts, duty managers and escalation routes current, reachable and authorised for this location and time?",hr_identity|sensor_telemetry,2,,
HS-065,Health and safety officers,"During a disruption or closure, which toilets, drinking-water, rest, accessible and hygiene provisions are actually available, and what temporary welfare gap needs owner action?",accessibility|cleaning_waste|sensor_telemetry,3,,
HS-066,Health and safety officers,"Do official forecasts or qualified local measurements meet an owner-approved trigger for heat, cold, air quality, flooding, power or water contingency action?",sensor_telemetry|weather_external,2,,
HS-067,Health and safety officers,"Which emergency-response assets are missing, inaccessible, discharged, expired or unverified for the hazards and zones they are meant to cover?",asset_register|project_handover|sensor_telemetry|statutory_compliance,4,,
HS-068,Health and safety officers,"For the identified hazard, is the building's shelter-in-place or controlled-movement arrangement operational for the intended zones?",bms_plant|sensor_telemetry,2,,
HS-069,Health and safety officers,"Which emergency and welfare arrangements have an unmitigated single point of failure across power, network, water, access, equipment or staffing dependencies?",bms_plant|cmms_work|contract_warranty|it_network|meter_energy|sensor_telemetry,6,,
HS-070,Health and safety officers,"What did the latest exercise demonstrate about detection, command, communication, movement, welfare and recovery, and which conclusions remain unsupported?",it_network|sensor_telemetry|user_reports,3,,
HS-071,Health and safety officers,"For the scheduled assurance activity, which required evidence is current, permissioned, traceable and reproducible, and which evidence is missing?",contract_warranty|sensor_telemetry|training_competency,3,,
HS-072,Health and safety officers,"After normalising for activity volume and reporting coverage, which hazard, location or asset themes show a sustained adverse trend?",asset_register|booking|cmms_work|permit_control|sensor_telemetry,5,,
HS-073,Health and safety officers,"Which inspection, maintenance, incident and corrective-action backlogs create the largest present assurance gap, and why?",cmms_work|finance_cost|sensor_telemetry,3,,
HS-074,Health and safety officers,"Which dashboard claims are unreliable because of unmapped sensors, blind spots, clock drift, calibration lapse, downtime, aggregation or missing permission?",it_network|sensor_telemetry|statutory_compliance,3,,
HS-075,Health and safety officers,"Across comparable locations and periods, is a strategic control programme associated with sustained improvement, and what alternative explanations remain?",sensor_telemetry,1,,
HS-076,Health and safety officers,"Which proposed actions should enter the next improvement plan when consequence, exposure opportunity, commitments, feasibility, dependencies and evidence strength are considered together?",finance_cost|policy_governance|risk_insurance|sensor_telemetry,4,,
HS-077,Health and safety officers,"Where do authoritative systems conflict about owner, asset, zone, closure, permit, action or completion status, and who must resolve each conflict?",cmms_work|permit_control|policy_governance|sensor_telemetry,4,,
HS-078,Health and safety officers,"For each catalogue question and user role, are purpose, access, minimisation, retention, small-group protection and disclosure controls adequate?",access_control|policy_governance|sensor_telemetry,3,,
HS-079,Health and safety officers,"Does the governance report clearly separate controlled lookup, direct observation, calculation, estimate, forecast, comparison, recommendation, unknown and stale evidence?",policy_governance|sensor_telemetry,2,,
HS-080,Health and safety officers,"Which health and safety decisions must remain outside the service because they require inspection, consultation, occupational-health, emergency, legal or other competent judgement?",policy_governance|sensor_telemetry,2,,
IR-001,Insurers and risk assessors,"For the current declared exposure, which buildings, zones, fixed plant, portable equipment and contents are evidenced as included, and which items remain unmatched or ambiguous?",access_control|bms_plant|contract_warranty|finance_cost|meter_energy|policy_governance|sensor_telemetry,7,,
IR-002,Insurers and risk assessors,"Which spaces appear to differ from the current owner-approved use record, and what material change must be confirmed before the declared exposure can be relied on?",booking|fire_life_safety|project_handover|timetable,4,,
IR-003,Insurers and risk assessors,"For each material-risk zone, when is it normally occupied, lightly staffed or apparently unattended, and how reliable is that pattern?",project_handover|sensor_telemetry|timetable,3,,
IR-004,Insurers and risk assessors,"Where are high-value, irreplaceable or continuity-critical assets concentrated, and which single peril zone or shared dependency could affect several together?",access_control|asset_register|finance_cost|fire_life_safety|sensor_telemetry,5,,
