qid,group,proposed_bucket,why_unanswered,proposed_action,question,routed_intent,answer_status,category,stakeholder_role,complexity_l,source,elapsed_s,answer,fixed,notes
Q715,DOC_NOT_FOUND,ANALYTICS-COMPARATIVE,LIKELY ANSWERABLE from sensor history -- a comparison over time or space,"confirm the modality exists, then route to analytics/compare instead of capability","Old wing versus new wing: complaints per occupant, normalised.",capability,observed,Benchmarking & comparison,Facility manager,,v5_synthetic_bank,0.6,"I could not find a passage in **Abacws Building**'s documents that directly addresses this. The closest related material is below, and it may not answer your question:**From: Governance**# OntoSage Building Intelligence — Governance & Privacy Statement ## What the System Monitors OntoSage monitors the following building systems in **Abacws, Cardiff University**: - **Environmental sensors** (Floor 5): temperature, humidity, CO2 concentration, air quality index, TVOC, noise levels, illuminance - **Infrastructure status**: lift/elevator status, HVAC operation mode - **Occupancy indicators**: aggregate motion/presence detection per zone (no individual tracking) - **Energy meters**: electrical consumption at floor and building level (planned Phase C onward) ## What the System Does NOT Infer OntoSage is designed around strict data minimisation principles: - **No individual tracking**: The system cannot identify specific people. Occupancy data is aggregate counts, not identities. - **No behavioural profiling**: The system does not track individual movement patterns, work habits, or personal preferences without explicit opt-in. - **No inference of personal characteristics**: Health, productivity, emotional state, or any protected characteristics are never inferred from sensor data. - **No access control records**: Badge/access logs are not connected to this system. ## Who Reviews the System | Role | Responsibility | Contact | |------|---------------|---------| | Building Facility Manager | Day-to-day operation, alert response | estates@cardiff.ac.uk | | IT Operations (Cardiff) | System health, data storage, access control | it-support@cardiff.ac.uk | | Data Protection Officer | GDPR compliance, privacy reviews | dataprotection@cardiff.ac.uk | | Research Ethics Committee | Ongoing ethics review (SREC COMSC/Ethics/2025/044b) | ethics@cardiff.ac.uk | ## Data Retention - **Sensor time-series**: retained for 24 months, then archived or deleted - **Conversation logs**: retained for 6 months for system improvement - **User preferences** (opt-in): retained until the user deletes them ## Legal Basis Data processing is conducted under: - **Legitimate interests** (building operations, energy management, occupant safety): Cardiff University Act 1988 and GDPR Article 6(1)(f) - **Consent** (personalisation features): explicit opt-in only ## How to Request Data Deletion or Access Contact dataprotection@cardiff.ac.uk with subject line ""OntoSage Data Request"". Requests are processed within 30 days per GDPR Article 12. ## Ethical Commitments - The system will clearly state when it cannot answer a question with the available data rather than guessing. - No decisions affecting individuals are made automatically without human review. - The system is monitored for bias in responses across different user roles. - Annual ethics review is conducted by the Research Ethics Committee.---*Source: building documents. For the most current version, contact facility management.***Boundary: not declared.** I can't say what this figure covers — the meter behind it has no `ontosage:meterServes` in the ontology. Declaring the meter's boundary and allocation method would let every energy answer state it.",,
Q724,DECLINE,UNTRIAGED,no pattern matched -- read it and decide,classify by hand; do not assume it is missing data,"Break that down by weekday, please.",capability,observed,"Personalisation, memory & follow-up",Space planner,,v5_synthetic_bank,0.6,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q738,DECLINE,UNTRIAGED,no pattern matched -- read it and decide,classify by hand; do not assume it is missing data,"Do you know about the annex, or only the main building?",capability,observed,System self-knowledge & explainability,Visitor,,v5_synthetic_bank,7.4,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q740,DECLINE,UNTRIAGED,no pattern matched -- read it and decide,classify by hand; do not assume it is missing data,Are any of the numbers you show simulated rather than measured? How would I know?,capability,observed,System self-knowledge & explainability,Auditor,,v5_synthetic_bank,0.8,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q744,DECLINE,UNTRIAGED,no pattern matched -- read it and decide,classify by hand; do not assume it is missing data,Is the building happy today?,capability,observed,"Ambiguous, underspecified & out-of-scope",Visitor,,v5_synthetic_bank,0.5,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q751,DECLINE,UNTRIAGED,no pattern matched -- read it and decide,classify by hand; do not assume it is missing data,What's my colleague's calendar say - is she in the building?,capability,observed,"Ambiguous, underspecified & out-of-scope",Occupant,,v5_synthetic_bank,0.7,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed: upload the manual, policy or procedure to the active building's `documents/` folder (Admin portal → *Documents*). It is indexed automatically and quoted with its source, so questions about this are answered from your own document.",,
Q758,DECLINE,UNTRIAGED,no pattern matched -- read it and decide,classify by hand; do not assume it is missing data,There's water coming through the light fitting in 4.12 - what do I do first?,capability,observed,"Safety, security & emergency",Occupant,,v5_synthetic_bank,0.7,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q765,DECLINE,AUTHORING,a knowledge topic or amenity would answer this,author ontosage:KnowledgeTopic / Amenity triples via the admin GUI,Post-earthquake checklist: what should we inspect in a building like this?,capability,observed,"Safety, security & emergency",Facility manager,,v5_synthetic_bank,0.7,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q782,DECLINE,UNTRIAGED,no pattern matched -- read it and decide,classify by hand; do not assume it is missing data,How long do visitors typically wait in the lobby before being collected?,capability,observed,Occupancy & space utilisation,Receptionist,,v5_synthetic_bank,0.5,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q788,DECLINE,DATA-SCHEDULE,"timetable, booking or event data is not sourced for this",onboard the institutional layer (timetable/bookings) -- V6-T57,"If we host the conference here instead of hiring a venue, can the building cope for three days?",capability,observed,Prediction & forward-looking,Executive,,v5_synthetic_bank,0.9,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q796,DECLINE,ROUTING-FORECAST,a forecast lane exists; the question is forward-looking,route to trend/forecast; confirm the modality is forecastable,Will the atrium plants survive the winter light levels?,capability,observed,Prediction & forward-looking,Grounds staff,,v5_synthetic_bank,0.7,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q807,DOC_NOT_FOUND,UNTRIAGED,no pattern matched -- read it and decide,classify by hand; do not assume it is missing data,How many service interruptions affected our floors this quarter?,capability,observed,Retrospective analysis & reporting,Tenant representative,,v5_synthetic_bank,0.6,"I could not find a passage in **Abacws Building**'s documents that directly addresses this. The closest related material is below, and it may not answer your question:**From: Maintenance Log**# Maintenance Log — Abacws Building (bldg1) This document records all maintenance activities for building equipment. Use this to answer questions about service history, equipment condition, and scheduled maintenance. ## AHU-F1 — Air Handling Unit Floor 1 Asset type: hvac - **2026-06-13**: Fault investigation — Status: in_progress — Technician: T.Williams (3.6h) - **2026-06-08**: Electrical inspection — Status: completed — Technician: M.Davies (0.8h) - **2026-05-26**: Belt tensioning — Status: completed — Technician: T.Williams (1.0h) - **2026-05-21**: Vibration check — Status: completed — Technician: M.Davies (1.9h) - **2026-05-11**: Annual service — Status: completed — Technician: M.Davies (0.8h) - **2026-05-07**: Preventive maintenance — Status: completed — Technician: K.Singh (2.1h) - **2026-05-01**: Electrical inspection — Status: completed — Technician: M.Davies (1.1h) ## AHU-F3 — Air Handling Unit Floor 3 Asset type: hvac - **2026-05-20**: Electrical inspection — Status: pending — Technician: T.Williams (1.0h) - **2026-05-16**: Filter replacement — Status: completed — Technician: A.Osei (2.9h) ## ELEC-DB3 — Electrical Distribution Board Floor 3 Asset type: electrical - **2026-06-09**: Oil change — Status: in_progress — Technician: A.Osei (1.3h) - **2026-06-04**: Annual service — Status: in_progress — Technician: A.Osei (1.7h) - **2026-05-24**: Oil change — Status: in_progress — Technician: T.Williams (1.0h) - **2026-05-09**: Belt tensioning — Status: pending — Technician: M.Davies (2.9h) ## FCU-503 — Fan Coil Unit Room 5.03 Asset type: hvac - **2026-06-17**: Belt tensioning — Status: completed — Technician: P.Jones (3.7h) - **2026-06-11**: Belt tensioning — Status: pending — Technician: P.Jones (1.3h) ## LIFT-01 — Main Passenger Lift Asset type: lift - **2026-06-03**: Preventive maintenance — Status: completed — Technician: M.Davies (1.5h) - **2026-05-31**: Annual service — Status: completed — Technician: T.Williams (3.5h) - **2026-05-28**: Electrical inspection — Status: completed — Technician: K.Singh (3.6h) - **2026-05-15**: Emergency repair — Status: completed — Technician: M.Davies (2.8h) - **2026-05-13**: Filter replacement — Status: completed — Technician: K.Singh (1.3h) - **2026-05-10**: Vibration check — Status: in_progress — Technician: T.Williams (1.4h) - **2026-05-04**: Annual service — Status: in_progress — Technician: M.Davies (2.6h) - **2026-05-03**: Belt tensioning — Status: completed — Technician: A.Osei (2.4h) ## PUMP-CH1 — Chiller Pump 1 Asset type: hvac - **2026-05-22**: Smoke test — Status: completed — Technician: M.Davies (1.9h)**From: Hvac Operation**|-----------|--------|----------------| | CO2 | < 800 ppm (occupied) | > 1000 ppm triggers demand-control ventilation boost | | TVOC | < 300 ppb | > 500 ppb triggers investigation | | PM2.5 | < 12 μg/m³ (24h avg) | > 35 μg/m³ triggers air quality alert | | Relative humidity | 40–60% | < 30% or > 70% triggers fault log | ## Maintenance Schedule - **Filters**: Changed every 6 months (April and October) — HEPA G4/F7 combination - **Heat recovery wheel**: Inspected quarterly, cleaned annually - **Boiler servicing**: Annual (July, during summer shutdown) - **Chiller checks**: Monthly inspection by campus facilities team - **Fire dampers**: Tested annually as part of fire safety compliance ## OntoSage Integration OntoSage monitors temperature, humidity, CO2, TVOC, and air quality index via sensors on Floor 5. Sensor readings update every 30 seconds. HVAC setpoint changes can be **requested** through OntoSage by authorised users (Facility Manager role), subject to approval workflow. Physical actuation requires the Honeywell BMS driver integration (planned; current deployment uses simulation mode).---*Source: building documents. For the most current version, contact facility management.*",,
Q814,DECLINE,UNTRIAGED,no pattern matched -- read it and decide,classify by hand; do not assume it is missing data,Is it true this building won an efficiency award but runs its AC all night?,capability,observed,Cross-domain / open-ended reasoning,Journalist,,v5_synthetic_bank,0.6,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q816,DECLINE,AUTHORING,a knowledge topic or amenity would answer this,author ontosage:KnowledgeTopic / Amenity triples via the admin GUI,"How much public money went into the retrofit, and what did it deliver?",capability,observed,Cost & finance,Journalist,,v5_synthetic_bank,6.6,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q817,DOC_NOT_FOUND,UNTRIAGED,no pattern matched -- read it and decide,classify by hand; do not assume it is missing data,Were there any safety enforcement notices on this building in five years?,capability,observed,"Documents, compliance & institutional knowledge",Journalist,,v5_synthetic_bank,0.6,"I could not find a passage in **Abacws Building**'s documents that directly addresses this. The closest related material is below, and it may not answer your question:**From: Hvac Operation**|-----------|--------|----------------| | CO2 | < 800 ppm (occupied) | > 1000 ppm triggers demand-control ventilation boost | | TVOC | < 300 ppb | > 500 ppb triggers investigation | | PM2.5 | < 12 μg/m³ (24h avg) | > 35 μg/m³ triggers air quality alert | | Relative humidity | 40–60% | < 30% or > 70% triggers fault log | ## Maintenance Schedule - **Filters**: Changed every 6 months (April and October) — HEPA G4/F7 combination - **Heat recovery wheel**: Inspected quarterly, cleaned annually - **Boiler servicing**: Annual (July, during summer shutdown) - **Chiller checks**: Monthly inspection by campus facilities team - **Fire dampers**: Tested annually as part of fire safety compliance ## OntoSage Integration OntoSage monitors temperature, humidity, CO2, TVOC, and air quality index via sensors on Floor 5. Sensor readings update every 30 seconds. HVAC setpoint changes can be **requested** through OntoSage by authorised users (Facility Manager role), subject to approval workflow. Physical actuation requires the Honeywell BMS driver integration (planned; current deployment uses simulation mode).**From: Fire Safety**once per academic year (typically October). Partial tests are conducted in alternate semesters. Results and evacuation times are reviewed by the Fire Safety Officer. ## Prohibited Actions - Propping fire doors open with non-approved devices - Storing combustible materials in corridors or stairwells - Disabling or covering smoke detectors - Blocking fire exit routes with equipment or furniture---*Source: building documents. For the most current version, contact facility management.*",,
Q820,DECLINE,UNTRIAGED,no pattern matched -- read it and decide,classify by hand; do not assume it is missing data,"What hazardous materials are stored on site, and in what quantities?",capability,observed,"Safety, security & emergency",Fire service liaison,,v5_synthetic_bank,9.5,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q827,DECLINE,UNTRIAGED,no pattern matched -- read it and decide,classify by hand; do not assume it is missing data,What's the UV exposure situation in the display corridor?,capability,observed,Lighting & acoustics,Curator,,v5_synthetic_bank,0.6,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.---*⚠️ I summarised the data above but couldn't render the chart this time. Please try again, or rephrase the request as e.g. ""plot sensor 5.27 temperature for the last 24 hours as a line chart"".*",,
Q828,DECLINE,UNTRIAGED,no pattern matched -- read it and decide,classify by hand; do not assume it is missing data,"If the humidifier fails on Friday night, when would the archive leave safe range?",capability,observed,Prediction & forward-looking,Curator,,v5_synthetic_bank,0.7,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q830,SPATIAL_ERROR,DEFECT-SPATIAL,the spatial lane raised an ERROR rather than answering or declining,debug the spatial lane -- an error is not an honest decline,"Which walking route inside the building gives a 2,000-step loop for rainy days?",spatial_query,observed,Cross-domain / open-ended reasoning,HR / wellbeing,,v5_synthetic_bank,13.8,I encountered an error analysing the spatial data. Please try again.,,
Q835,DECLINE,DATA-SAFETY,safety/compliance state is not sourced,"onboard alarm/compliance state, or author it as knowledge triples",Email the FM inbox when any freezer alarm lasts over 15 minutes.,capability,observed,"Personalisation, memory & follow-up",Catering staff,,v5_synthetic_bank,0.6,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q839,DECLINE,CONTROL-SUBSCRIPTION,"asks the system to ACT or keep sending, not to answer",control lane: decline honestly and name what it can do instead,Stop sending me the Friday report - just alert me on exceptions.,capability,observed,"Personalisation, memory & follow-up",Executive,,v5_synthetic_bank,0.6,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q850,DECLINE,DATA-COST,financial data is not modelled in this building at all,out of scope until a cost/contract source is onboarded -- or decline honestly,What does one degree of overcooling in summer cost us monthly?,capability,observed,Cost & finance,Energy manager,,v5_synthetic_bank,8.0,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q861,DECLINE,UNTRIAGED,no pattern matched -- read it and decide,classify by hand; do not assume it is missing data,Rank our gas uses: which would be hardest to electrify?,capability,observed,Carbon & retrofit,Energy manager,,v5_synthetic_bank,6.1,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q862,DECLINE,PLANT-BMS,asks about plant or BMS operation -- points may exist but are not reached,check bldg1_plant_points.ttl; route to the plant/BMS lane rather than capability,"Does the biomass boiler actually get used, or is it a plaque on the wall?",capability,observed,Retrospective analysis & reporting,Journalist,,v5_synthetic_bank,7.7,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q864,DECLINE,UNTRIAGED,no pattern matched -- read it and decide,classify by hand; do not assume it is missing data,Why was the east entrance bricked up in 2019? There must be a record.,capability,observed,"Documents, compliance & institutional knowledge",New starter,,v5_synthetic_bank,16.6,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q865,DECLINE,UNTRIAGED,no pattern matched -- read it and decide,classify by hand; do not assume it is missing data,"Who commissioned the mural in the stairwell, and is it protected?",capability,observed,"Documents, compliance & institutional knowledge",Comms team,,v5_synthetic_bank,7.1,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q868,DECLINE,UNTRIAGED,no pattern matched -- read it and decide,classify by hand; do not assume it is missing data,Is there a record of what's buried under the courtyard before we dig?,capability,observed,"Documents, compliance & institutional knowledge",Contractor,,v5_synthetic_bank,8.5,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q869,DECLINE,UNTRIAGED,no pattern matched -- read it and decide,classify by hand; do not assume it is missing data,Whats the paint spec for the corridor touch-ups so it matches?,capability,observed,"Documents, compliance & institutional knowledge",Maintenance technician,,v5_synthetic_bank,0.7,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
Q870,DECLINE,DOCUMENT,answerable from a document nobody has uploaded,upload the manual/policy/assessment into input/documents/ and reindex,"Which O&M manuals are still missing from handover, ten years on?",capability,observed,"Documents, compliance & institutional knowledge",Facility manager,,v5_synthetic_bank,8.7,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed: upload the manual, policy or procedure to the active building's `documents/` folder (Admin portal → *Documents*). It is indexed automatically and quoted with its source, so questions about this are answered from your own document.",,
Q882,DECLINE,UNTRIAGED,no pattern matched -- read it and decide,classify by hand; do not assume it is missing data,Something has been humming at 50Hz on level 5 since Tuesday - find candidates.,capability,observed,Anomaly detection & diagnosis,Maintenance technician,,v5_synthetic_bank,0.6,"I don't have that specific information on record for **Abacws Building**. For building-specific queries please contact your building's facilities / estates management team.You can add it — no code changes needed:1. **Describe it in the ontology** — upload a TTL naming the entity and its relationships (Admin portal → *Ontology* → upload, or drop the `.ttl` into the active building's input folder and restart).2. **Point it at its readings** — give each sensor a `ref:hasExternalReference` → `ref:hasTimeseriesId` (the column/uuid) plus `ref:storedAt` (a key from `database_registry.yaml`).3. **Register the database** holding those rows (Admin portal → *Databases*).Once both halves exist, questions about this are answered live — the pipeline needs nothing else.",,
